Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sonnbo;106060;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1986-10-01 00:00:00;1991-01-01 23:59:59;89.0;60.1197;16.2838

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1986-10-01 06:00:01;1986-10-02 06:00:00;1986-10-01;0.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1986-10-02 06:00:01;1986-10-03 06:00:00;1986-10-02;0.0;Y;;Tidsperiod (fr.o.m.) = 1986-10-01 00:00:00 (UTC)
1986-10-03 06:00:01;1986-10-04 06:00:00;1986-10-03;0.2;Y;;Tidsperiod (t.o.m.) = 1991-01-01 23:59:59 (UTC)
1986-10-04 06:00:01;1986-10-05 06:00:00;1986-10-04;0.0;Y;;Värdet är summerat över = 24 timmar
1986-10-05 06:00:01;1986-10-06 06:00:00;1986-10-05;0.3;Y;;
1986-10-06 06:00:01;1986-10-07 06:00:00;1986-10-06;0.4;Y;;Kvalitetskoderna:
1986-10-07 06:00:01;1986-10-08 06:00:00;1986-10-07;0.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1986-10-08 06:00:01;1986-10-09 06:00:00;1986-10-08;0.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1986-10-09 06:00:01;1986-10-10 06:00:00;1986-10-09;0.1;Y;;
1986-10-10 06:00:01;1986-10-11 06:00:00;1986-10-10;0.9;Y;;Nätinformation:
1986-10-11 06:00:01;1986-10-12 06:00:00;1986-10-11;0.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1986-10-12 06:00:01;1986-10-13 06:00:00;1986-10-12;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1986-10-13 06:00:01;1986-10-14 06:00:00;1986-10-13;0.0;Y;;
1986-10-14 06:00:01;1986-10-15 06:00:00;1986-10-14;0.0;Y;;Möjliga orsaker till saknade data:
1986-10-15 06:00:01;1986-10-16 06:00:00;1986-10-15;0.7;Y;;– stationen eller givaren har varit ur funktion.
1986-10-16 06:00:01;1986-10-17 06:00:00;1986-10-16;0.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1986-10-17 06:00:01;1986-10-18 06:00:00;1986-10-17;0.0;Y
1986-10-18 06:00:01;1986-10-19 06:00:00;1986-10-18;0.0;Y
1986-10-19 06:00:01;1986-10-20 06:00:00;1986-10-19;9.7;Y
1986-10-20 06:00:01;1986-10-21 06:00:00;1986-10-20;0.6;Y
1986-10-21 06:00:01;1986-10-22 06:00:00;1986-10-21;0.0;Y
1986-10-22 06:00:01;1986-10-23 06:00:00;1986-10-22;2.8;Y
1986-10-23 06:00:01;1986-10-24 06:00:00;1986-10-23;0.0;Y
1986-10-24 06:00:01;1986-10-25 06:00:00;1986-10-24;2.5;Y
1986-10-25 06:00:01;1986-10-26 06:00:00;1986-10-25;0.0;Y
1986-10-26 06:00:01;1986-10-27 06:00:00;1986-10-26;0.0;Y
1986-10-27 06:00:01;1986-10-28 06:00:00;1986-10-27;1.6;Y
1986-10-28 06:00:01;1986-10-29 06:00:00;1986-10-28;1.0;Y
1986-10-29 06:00:01;1986-10-30 06:00:00;1986-10-29;6.0;Y
1986-10-30 06:00:01;1986-10-31 06:00:00;1986-10-30;2.1;Y
1986-10-31 06:00:01;1986-11-01 06:00:00;1986-10-31;0.3;Y
1986-11-01 06:00:01;1986-11-02 06:00:00;1986-11-01;0.0;Y
1986-11-02 06:00:01;1986-11-03 06:00:00;1986-11-02;0.8;Y
1986-11-03 06:00:01;1986-11-04 06:00:00;1986-11-03;0.1;Y
1986-11-04 06:00:01;1986-11-05 06:00:00;1986-11-04;0.0;Y
1986-11-05 06:00:01;1986-11-06 06:00:00;1986-11-05;8.5;Y
1986-11-06 06:00:01;1986-11-07 06:00:00;1986-11-06;0.9;Y
1986-11-07 06:00:01;1986-11-08 06:00:00;1986-11-07;2.4;Y
1986-11-08 06:00:01;1986-11-09 06:00:00;1986-11-08;1.4;Y
1986-11-09 06:00:01;1986-11-10 06:00:00;1986-11-09;0.3;Y
1986-11-10 06:00:01;1986-11-11 06:00:00;1986-11-10;0.2;Y
1986-11-11 06:00:01;1986-11-12 06:00:00;1986-11-11;2.2;Y
1986-11-12 06:00:01;1986-11-13 06:00:00;1986-11-12;3.4;Y
1986-11-13 06:00:01;1986-11-14 06:00:00;1986-11-13;0.0;Y
1986-11-14 06:00:01;1986-11-15 06:00:00;1986-11-14;0.2;Y
1986-11-15 06:00:01;1986-11-16 06:00:00;1986-11-15;2.4;Y
1986-11-16 06:00:01;1986-11-17 06:00:00;1986-11-16;0.0;Y
1986-11-17 06:00:01;1986-11-18 06:00:00;1986-11-17;1.7;Y
1986-11-18 06:00:01;1986-11-19 06:00:00;1986-11-18;2.7;Y
1986-11-19 06:00:01;1986-11-20 06:00:00;1986-11-19;6.3;Y
1986-11-20 06:00:01;1986-11-21 06:00:00;1986-11-20;0.0;Y
1986-11-21 06:00:01;1986-11-22 06:00:00;1986-11-21;0.0;Y
1986-11-22 06:00:01;1986-11-23 06:00:00;1986-11-22;1.0;Y
1986-11-23 06:00:01;1986-11-24 06:00:00;1986-11-23;8.1;Y
1986-11-24 06:00:01;1986-11-25 06:00:00;1986-11-24;0.3;Y
1986-11-25 06:00:01;1986-11-26 06:00:00;1986-11-25;0.8;Y
1986-11-26 06:00:01;1986-11-27 06:00:00;1986-11-26;4.3;Y
1986-11-27 06:00:01;1986-11-28 06:00:00;1986-11-27;0.0;Y
1986-11-28 06:00:01;1986-11-29 06:00:00;1986-11-28;0.0;Y
1986-11-29 06:00:01;1986-11-30 06:00:00;1986-11-29;0.0;Y
1986-11-30 06:00:01;1986-12-01 06:00:00;1986-11-30;0.0;Y
1986-12-01 06:00:01;1986-12-02 06:00:00;1986-12-01;5.1;Y
1986-12-02 06:00:01;1986-12-03 06:00:00;1986-12-02;0.3;Y
1986-12-03 06:00:01;1986-12-04 06:00:00;1986-12-03;3.3;Y
1986-12-04 06:00:01;1986-12-05 06:00:00;1986-12-04;0.0;Y
1986-12-05 06:00:01;1986-12-06 06:00:00;1986-12-05;18.2;Y
1986-12-06 06:00:01;1986-12-07 06:00:00;1986-12-06;0.0;Y
1986-12-07 06:00:01;1986-12-08 06:00:00;1986-12-07;0.0;Y
1986-12-08 06:00:01;1986-12-09 06:00:00;1986-12-08;0.1;Y
1986-12-09 06:00:01;1986-12-10 06:00:00;1986-12-09;0.1;Y
1986-12-10 06:00:01;1986-12-11 06:00:00;1986-12-10;1.9;Y
1986-12-11 06:00:01;1986-12-12 06:00:00;1986-12-11;0.0;Y
1986-12-12 06:00:01;1986-12-13 06:00:00;1986-12-12;0.0;Y
1986-12-13 06:00:01;1986-12-14 06:00:00;1986-12-13;2.1;Y
1986-12-14 06:00:01;1986-12-15 06:00:00;1986-12-14;5.8;Y
1986-12-15 06:00:01;1986-12-16 06:00:00;1986-12-15;0.9;Y
1986-12-16 06:00:01;1986-12-17 06:00:00;1986-12-16;5.3;Y
1986-12-17 06:00:01;1986-12-18 06:00:00;1986-12-17;0.4;Y
1986-12-18 06:00:01;1986-12-19 06:00:00;1986-12-18;2.5;Y
1986-12-19 06:00:01;1986-12-20 06:00:00;1986-12-19;0.4;Y
1986-12-20 06:00:01;1986-12-21 06:00:00;1986-12-20;0.8;Y
1986-12-21 06:00:01;1986-12-22 06:00:00;1986-12-21;0.2;Y
1986-12-22 06:00:01;1986-12-23 06:00:00;1986-12-22;0.6;Y
1986-12-23 06:00:01;1986-12-24 06:00:00;1986-12-23;0.5;Y
1986-12-24 06:00:01;1986-12-25 06:00:00;1986-12-24;0.4;Y
1986-12-25 06:00:01;1986-12-26 06:00:00;1986-12-25;1.7;Y
1986-12-26 06:00:01;1986-12-27 06:00:00;1986-12-26;1.0;Y
1986-12-27 06:00:01;1986-12-28 06:00:00;1986-12-27;2.6;Y
1986-12-28 06:00:01;1986-12-29 06:00:00;1986-12-28;8.2;Y
1986-12-29 06:00:01;1986-12-30 06:00:00;1986-12-29;9.7;Y
1986-12-30 06:00:01;1986-12-31 06:00:00;1986-12-30;0.1;Y
1986-12-31 06:00:01;1987-01-01 06:00:00;1986-12-31;0.4;Y
1987-01-01 06:00:01;1987-01-02 06:00:00;1987-01-01;0.0;Y
1987-01-02 06:00:01;1987-01-03 06:00:00;1987-01-02;0.4;Y
1987-01-03 06:00:01;1987-01-04 06:00:00;1987-01-03;0.1;Y
1987-01-04 06:00:01;1987-01-05 06:00:00;1987-01-04;0.2;Y
1987-01-05 06:00:01;1987-01-06 06:00:00;1987-01-05;2.3;Y
1987-01-06 06:00:01;1987-01-07 06:00:00;1987-01-06;0.1;Y
1987-01-07 06:00:01;1987-01-08 06:00:00;1987-01-07;0.0;Y
1987-01-08 06:00:01;1987-01-09 06:00:00;1987-01-08;4.9;Y
1987-01-09 06:00:01;1987-01-10 06:00:00;1987-01-09;0.1;Y
1987-01-10 06:00:01;1987-01-11 06:00:00;1987-01-10;0.1;Y
1987-01-11 06:00:01;1987-01-12 06:00:00;1987-01-11;0.3;Y
1987-01-12 06:00:01;1987-01-13 06:00:00;1987-01-12;0.0;Y
1987-01-13 06:00:01;1987-01-14 06:00:00;1987-01-13;0.0;Y
1987-01-14 06:00:01;1987-01-15 06:00:00;1987-01-14;0.0;Y
1987-01-15 06:00:01;1987-01-16 06:00:00;1987-01-15;0.0;Y
1987-01-16 06:00:01;1987-01-17 06:00:00;1987-01-16;0.0;Y
1987-01-17 06:00:01;1987-01-18 06:00:00;1987-01-17;0.0;Y
1987-01-18 06:00:01;1987-01-19 06:00:00;1987-01-18;0.1;Y
1987-01-19 06:00:01;1987-01-20 06:00:00;1987-01-19;0.0;Y
1987-01-20 06:00:01;1987-01-21 06:00:00;1987-01-20;1.8;Y
1987-01-21 06:00:01;1987-01-22 06:00:00;1987-01-21;0.0;Y
1987-01-22 06:00:01;1987-01-23 06:00:00;1987-01-22;0.0;Y
1987-01-23 06:00:01;1987-01-24 06:00:00;1987-01-23;0.5;Y
1987-01-24 06:00:01;1987-01-25 06:00:00;1987-01-24;0.2;Y
1987-01-25 06:00:01;1987-01-26 06:00:00;1987-01-25;1.2;Y
1987-01-26 06:00:01;1987-01-27 06:00:00;1987-01-26;0.0;Y
1987-01-27 06:00:01;1987-01-28 06:00:00;1987-01-27;0.2;Y
1987-01-28 06:00:01;1987-01-29 06:00:00;1987-01-28;0.4;Y
1987-01-29 06:00:01;1987-01-30 06:00:00;1987-01-29;0.0;Y
1987-01-30 06:00:01;1987-01-31 06:00:00;1987-01-30;0.6;Y
1987-01-31 06:00:01;1987-02-01 06:00:00;1987-01-31;0.0;Y
1987-02-01 06:00:01;1987-02-02 06:00:00;1987-02-01;0.0;Y
1987-02-02 06:00:01;1987-02-03 06:00:00;1987-02-02;0.0;Y
1987-02-03 06:00:01;1987-02-04 06:00:00;1987-02-03;0.0;Y
1987-02-04 06:00:01;1987-02-05 06:00:00;1987-02-04;0.0;Y
1987-02-05 06:00:01;1987-02-06 06:00:00;1987-02-05;3.3;Y
1987-02-06 06:00:01;1987-02-07 06:00:00;1987-02-06;3.4;Y
1987-02-07 06:00:01;1987-02-08 06:00:00;1987-02-07;0.3;Y
1987-02-08 06:00:01;1987-02-09 06:00:00;1987-02-08;0.0;Y
1987-02-09 06:00:01;1987-02-10 06:00:00;1987-02-09;0.0;Y
1987-02-10 06:00:01;1987-02-11 06:00:00;1987-02-10;11.3;Y
1987-02-11 06:00:01;1987-02-12 06:00:00;1987-02-11;4.4;Y
1987-02-12 06:00:01;1987-02-13 06:00:00;1987-02-12;7.2;Y
1987-02-13 06:00:01;1987-02-14 06:00:00;1987-02-13;7.2;Y
1987-02-14 06:00:01;1987-02-15 06:00:00;1987-02-14;0.2;Y
1987-02-15 06:00:01;1987-02-16 06:00:00;1987-02-15;0.0;Y
1987-02-16 06:00:01;1987-02-17 06:00:00;1987-02-16;0.0;Y
1987-02-17 06:00:01;1987-02-18 06:00:00;1987-02-17;0.0;Y
1987-02-18 06:00:01;1987-02-19 06:00:00;1987-02-18;0.1;Y
1987-02-19 06:00:01;1987-02-20 06:00:00;1987-02-19;0.0;Y
1987-02-20 06:00:01;1987-02-21 06:00:00;1987-02-20;0.0;Y
1987-02-21 06:00:01;1987-02-22 06:00:00;1987-02-21;0.0;Y
1987-02-22 06:00:01;1987-02-23 06:00:00;1987-02-22;0.0;Y
1987-02-23 06:00:01;1987-02-24 06:00:00;1987-02-23;0.0;Y
1987-02-24 06:00:01;1987-02-25 06:00:00;1987-02-24;0.0;Y
1987-02-25 06:00:01;1987-02-26 06:00:00;1987-02-25;0.0;Y
1987-02-26 06:00:01;1987-02-27 06:00:00;1987-02-26;0.0;Y
1987-02-27 06:00:01;1987-02-28 06:00:00;1987-02-27;0.0;Y
1987-02-28 06:00:01;1987-03-01 06:00:00;1987-02-28;0.0;Y
1987-03-01 06:00:01;1987-03-02 06:00:00;1987-03-01;0.0;Y
1987-03-02 06:00:01;1987-03-03 06:00:00;1987-03-02;0.0;Y
1987-03-03 06:00:01;1987-03-04 06:00:00;1987-03-03;0.0;Y
1987-03-04 06:00:01;1987-03-05 06:00:00;1987-03-04;0.0;Y
1987-03-05 06:00:01;1987-03-06 06:00:00;1987-03-05;0.0;Y
1987-03-06 06:00:01;1987-03-07 06:00:00;1987-03-06;0.0;Y
1987-03-07 06:00:01;1987-03-08 06:00:00;1987-03-07;0.0;Y
1987-03-08 06:00:01;1987-03-09 06:00:00;1987-03-08;0.0;Y
1987-03-09 06:00:01;1987-03-10 06:00:00;1987-03-09;0.0;Y
1987-03-10 06:00:01;1987-03-11 06:00:00;1987-03-10;0.0;Y
1987-03-11 06:00:01;1987-03-12 06:00:00;1987-03-11;0.0;Y
1987-03-12 06:00:01;1987-03-13 06:00:00;1987-03-12;0.0;Y
1987-03-13 06:00:01;1987-03-14 06:00:00;1987-03-13;0.0;Y
1987-03-14 06:00:01;1987-03-15 06:00:00;1987-03-14;0.0;Y
1987-03-15 06:00:01;1987-03-16 06:00:00;1987-03-15;0.0;Y
1987-03-16 06:00:01;1987-03-17 06:00:00;1987-03-16;0.2;Y
1987-03-17 06:00:01;1987-03-18 06:00:00;1987-03-17;0.0;Y
1987-03-18 06:00:01;1987-03-19 06:00:00;1987-03-18;16.1;Y
1987-03-19 06:00:01;1987-03-20 06:00:00;1987-03-19;3.8;Y
1987-03-20 06:00:01;1987-03-21 06:00:00;1987-03-20;2.5;Y
1987-03-21 06:00:01;1987-03-22 06:00:00;1987-03-21;0.1;Y
1987-03-22 06:00:01;1987-03-23 06:00:00;1987-03-22;1.8;Y
1987-03-23 06:00:01;1987-03-24 06:00:00;1987-03-23;0.0;Y
1987-03-24 06:00:01;1987-03-25 06:00:00;1987-03-24;0.0;Y
1987-03-25 06:00:01;1987-03-26 06:00:00;1987-03-25;0.0;Y
1987-03-26 06:00:01;1987-03-27 06:00:00;1987-03-26;5.8;Y
1987-03-27 06:00:01;1987-03-28 06:00:00;1987-03-27;6.7;Y
1987-03-28 06:00:01;1987-03-29 06:00:00;1987-03-28;2.8;Y
1987-03-29 06:00:01;1987-03-30 06:00:00;1987-03-29;0.1;Y
1987-03-30 06:00:01;1987-03-31 06:00:00;1987-03-30;0.0;Y
1987-03-31 06:00:01;1987-04-01 06:00:00;1987-03-31;0.0;Y
1987-04-01 06:00:01;1987-04-02 06:00:00;1987-04-01;0.1;Y
1987-04-02 06:00:01;1987-04-03 06:00:00;1987-04-02;0.0;Y
1987-04-03 06:00:01;1987-04-04 06:00:00;1987-04-03;0.0;Y
1987-04-04 06:00:01;1987-04-05 06:00:00;1987-04-04;0.0;Y
1987-04-05 06:00:01;1987-04-06 06:00:00;1987-04-05;0.0;Y
1987-04-06 06:00:01;1987-04-07 06:00:00;1987-04-06;0.0;Y
1987-04-07 06:00:01;1987-04-08 06:00:00;1987-04-07;0.0;Y
1987-04-08 06:00:01;1987-04-09 06:00:00;1987-04-08;0.0;Y
1987-04-09 06:00:01;1987-04-10 06:00:00;1987-04-09;0.0;Y
1987-04-10 06:00:01;1987-04-11 06:00:00;1987-04-10;0.0;Y
1987-04-11 06:00:01;1987-04-12 06:00:00;1987-04-11;3.9;Y
1987-04-12 06:00:01;1987-04-13 06:00:00;1987-04-12;0.1;Y
1987-04-13 06:00:01;1987-04-14 06:00:00;1987-04-13;0.0;Y
1987-04-14 06:00:01;1987-04-15 06:00:00;1987-04-14;0.0;Y
1987-04-15 06:00:01;1987-04-16 06:00:00;1987-04-15;0.0;Y
1987-04-16 06:00:01;1987-04-17 06:00:00;1987-04-16;0.0;Y
1987-04-17 06:00:01;1987-04-18 06:00:00;1987-04-17;0.0;Y
1987-04-18 06:00:01;1987-04-19 06:00:00;1987-04-18;0.0;Y
1987-04-19 06:00:01;1987-04-20 06:00:00;1987-04-19;4.1;Y
1987-04-20 06:00:01;1987-04-21 06:00:00;1987-04-20;2.9;Y
1987-04-21 06:00:01;1987-04-22 06:00:00;1987-04-21;0.1;Y
1987-04-22 06:00:01;1987-04-23 06:00:00;1987-04-22;0.0;Y
1987-04-23 06:00:01;1987-04-24 06:00:00;1987-04-23;0.0;Y
1987-04-24 06:00:01;1987-04-25 06:00:00;1987-04-24;0.6;Y
1987-04-25 06:00:01;1987-04-26 06:00:00;1987-04-25;0.0;Y
1987-04-26 06:00:01;1987-04-27 06:00:00;1987-04-26;0.0;Y
1987-04-27 06:00:01;1987-04-28 06:00:00;1987-04-27;0.0;Y
1987-04-28 06:00:01;1987-04-29 06:00:00;1987-04-28;0.0;Y
1987-04-29 06:00:01;1987-04-30 06:00:00;1987-04-29;0.0;Y
1987-04-30 06:00:01;1987-05-01 06:00:00;1987-04-30;0.0;Y
1987-05-01 06:00:01;1987-05-02 06:00:00;1987-05-01;2.2;Y
1987-05-02 06:00:01;1987-05-03 06:00:00;1987-05-02;0.4;Y
1987-05-03 06:00:01;1987-05-04 06:00:00;1987-05-03;0.0;Y
1987-05-04 06:00:01;1987-05-05 06:00:00;1987-05-04;0.0;Y
1987-05-05 06:00:01;1987-05-06 06:00:00;1987-05-05;0.3;Y
1987-05-06 06:00:01;1987-05-07 06:00:00;1987-05-06;0.2;Y
1987-05-07 06:00:01;1987-05-08 06:00:00;1987-05-07;0.0;Y
1987-05-08 06:00:01;1987-05-09 06:00:00;1987-05-08;0.0;Y
1987-05-09 06:00:01;1987-05-10 06:00:00;1987-05-09;6.0;Y
1987-05-10 06:00:01;1987-05-11 06:00:00;1987-05-10;4.2;Y
1987-05-11 06:00:01;1987-05-12 06:00:00;1987-05-11;0.0;Y
1987-05-12 06:00:01;1987-05-13 06:00:00;1987-05-12;5.0;Y
1987-05-13 06:00:01;1987-05-14 06:00:00;1987-05-13;5.5;Y
1987-05-14 06:00:01;1987-05-15 06:00:00;1987-05-14;2.5;Y
1987-05-15 06:00:01;1987-05-16 06:00:00;1987-05-15;3.4;Y
1987-05-16 06:00:01;1987-05-17 06:00:00;1987-05-16;0.9;Y
1987-05-17 06:00:01;1987-05-18 06:00:00;1987-05-17;19.2;Y
1987-05-18 06:00:01;1987-05-19 06:00:00;1987-05-18;6.7;Y
1987-05-19 06:00:01;1987-05-20 06:00:00;1987-05-19;14.9;Y
1987-05-20 06:00:01;1987-05-21 06:00:00;1987-05-20;0.0;Y
1987-05-21 06:00:01;1987-05-22 06:00:00;1987-05-21;0.0;Y
1987-05-22 06:00:01;1987-05-23 06:00:00;1987-05-22;0.0;Y
1987-05-23 06:00:01;1987-05-24 06:00:00;1987-05-23;0.0;Y
1987-05-24 06:00:01;1987-05-25 06:00:00;1987-05-24;0.0;Y
1987-05-25 06:00:01;1987-05-26 06:00:00;1987-05-25;0.0;Y
1987-05-26 06:00:01;1987-05-27 06:00:00;1987-05-26;0.0;Y
1987-05-27 06:00:01;1987-05-28 06:00:00;1987-05-27;0.0;Y
1987-05-28 06:00:01;1987-05-29 06:00:00;1987-05-28;0.0;Y
1987-05-29 06:00:01;1987-05-30 06:00:00;1987-05-29;0.0;Y
1987-05-30 06:00:01;1987-05-31 06:00:00;1987-05-30;0.0;Y
1987-05-31 06:00:01;1987-06-01 06:00:00;1987-05-31;0.0;Y
1987-06-01 06:00:01;1987-06-02 06:00:00;1987-06-01;2.6;Y
1987-06-02 06:00:01;1987-06-03 06:00:00;1987-06-02;0.5;Y
1987-06-03 06:00:01;1987-06-04 06:00:00;1987-06-03;1.6;Y
1987-06-04 06:00:01;1987-06-05 06:00:00;1987-06-04;0.0;Y
1987-06-05 06:00:01;1987-06-06 06:00:00;1987-06-05;0.2;Y
1987-06-06 06:00:01;1987-06-07 06:00:00;1987-06-06;0.9;Y
1987-06-07 06:00:01;1987-06-08 06:00:00;1987-06-07;4.4;Y
1987-06-08 06:00:01;1987-06-09 06:00:00;1987-06-08;1.9;Y
1987-06-09 06:00:01;1987-06-10 06:00:00;1987-06-09;1.1;Y
1987-06-10 06:00:01;1987-06-11 06:00:00;1987-06-10;0.0;Y
1987-06-11 06:00:01;1987-06-12 06:00:00;1987-06-11;0.8;Y
1987-06-12 06:00:01;1987-06-13 06:00:00;1987-06-12;0.8;Y
1987-06-13 06:00:01;1987-06-14 06:00:00;1987-06-13;0.0;Y
1987-06-14 06:00:01;1987-06-15 06:00:00;1987-06-14;6.5;Y
1987-06-15 06:00:01;1987-06-16 06:00:00;1987-06-15;2.2;Y
1987-06-16 06:00:01;1987-06-17 06:00:00;1987-06-16;3.1;Y
1987-06-17 06:00:01;1987-06-18 06:00:00;1987-06-17;7.2;Y
1987-06-18 06:00:01;1987-06-19 06:00:00;1987-06-18;1.3;Y
1987-06-19 06:00:01;1987-06-20 06:00:00;1987-06-19;5.9;Y
1987-06-20 06:00:01;1987-06-21 06:00:00;1987-06-20;0.4;Y
1987-06-21 06:00:01;1987-06-22 06:00:00;1987-06-21;0.0;Y
1987-06-22 06:00:01;1987-06-23 06:00:00;1987-06-22;0.1;Y
1987-06-23 06:00:01;1987-06-24 06:00:00;1987-06-23;1.4;Y
1987-06-24 06:00:01;1987-06-25 06:00:00;1987-06-24;1.1;Y
1987-06-25 06:00:01;1987-06-26 06:00:00;1987-06-25;3.7;Y
1987-06-26 06:00:01;1987-06-27 06:00:00;1987-06-26;0.0;Y
1987-06-27 06:00:01;1987-06-28 06:00:00;1987-06-27;6.0;Y
1987-06-28 06:00:01;1987-06-29 06:00:00;1987-06-28;0.1;Y
1987-06-29 06:00:01;1987-06-30 06:00:00;1987-06-29;0.0;Y
1987-06-30 06:00:01;1987-07-01 06:00:00;1987-06-30;8.2;Y
1987-07-01 06:00:01;1987-07-02 06:00:00;1987-07-01;0.0;Y
1987-07-02 06:00:01;1987-07-03 06:00:00;1987-07-02;0.3;Y
1987-07-03 06:00:01;1987-07-04 06:00:00;1987-07-03;0.1;Y
1987-07-04 06:00:01;1987-07-05 06:00:00;1987-07-04;0.0;Y
1987-07-05 06:00:01;1987-07-06 06:00:00;1987-07-05;0.0;Y
1987-07-06 06:00:01;1987-07-07 06:00:00;1987-07-06;0.0;Y
1987-07-07 06:00:01;1987-07-08 06:00:00;1987-07-07;0.0;Y
1987-07-08 06:00:01;1987-07-09 06:00:00;1987-07-08;28.0;Y
1987-07-09 06:00:01;1987-07-10 06:00:00;1987-07-09;3.9;Y
1987-07-10 06:00:01;1987-07-11 06:00:00;1987-07-10;0.0;Y
1987-07-11 06:00:01;1987-07-12 06:00:00;1987-07-11;0.0;Y
1987-07-12 06:00:01;1987-07-13 06:00:00;1987-07-12;0.0;Y
1987-07-13 06:00:01;1987-07-14 06:00:00;1987-07-13;0.0;Y
