Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Kratte masugn;106340;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1950-03-01 00:00:00;1954-05-01 23:59:59;160.0;60.4528;16.3861

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1950-03-01 06:00:01;1950-03-02 06:00:00;1950-03-01;0.1;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1950-03-02 06:00:01;1950-03-03 06:00:00;1950-03-02;0.0;G;;Tidsperiod (fr.o.m.) = 1950-03-01 00:00:00 (UTC)
1950-03-03 06:00:01;1950-03-04 06:00:00;1950-03-03;0.1;G;;Tidsperiod (t.o.m.) = 1954-05-01 23:59:59 (UTC)
1950-03-04 06:00:01;1950-03-05 06:00:00;1950-03-04;0.0;G;;Värdet är summerat över = 24 timmar
1950-03-05 06:00:01;1950-03-06 06:00:00;1950-03-05;0.0;G;;
1950-03-06 06:00:01;1950-03-07 06:00:00;1950-03-06;0.0;G;;Kvalitetskoderna:
1950-03-07 06:00:01;1950-03-08 06:00:00;1950-03-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1950-03-08 06:00:01;1950-03-09 06:00:00;1950-03-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1950-03-09 06:00:01;1950-03-10 06:00:00;1950-03-09;0.0;G;;
1950-03-10 06:00:01;1950-03-11 06:00:00;1950-03-10;0.1;G;;Nätinformation:
1950-03-11 06:00:01;1950-03-12 06:00:00;1950-03-11;2.8;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1950-03-12 06:00:01;1950-03-13 06:00:00;1950-03-12;0.1;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1950-03-13 06:00:01;1950-03-14 06:00:00;1950-03-13;0.0;G;;
1950-03-14 06:00:01;1950-03-15 06:00:00;1950-03-14;0.0;G;;Möjliga orsaker till saknade data:
1950-03-15 06:00:01;1950-03-16 06:00:00;1950-03-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1950-03-16 06:00:01;1950-03-17 06:00:00;1950-03-16;0.1;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1950-03-17 06:00:01;1950-03-18 06:00:00;1950-03-17;0.1;G
1950-03-18 06:00:01;1950-03-19 06:00:00;1950-03-18;0.5;G
1950-03-19 06:00:01;1950-03-20 06:00:00;1950-03-19;0.0;G
1950-03-20 06:00:01;1950-03-21 06:00:00;1950-03-20;0.1;G
1950-03-21 06:00:01;1950-03-22 06:00:00;1950-03-21;0.0;G
1950-03-22 06:00:01;1950-03-23 06:00:00;1950-03-22;0.0;G
1950-03-23 06:00:01;1950-03-24 06:00:00;1950-03-23;3.9;G
1950-03-24 06:00:01;1950-03-25 06:00:00;1950-03-24;2.8;G
1950-03-25 06:00:01;1950-03-26 06:00:00;1950-03-25;0.8;G
1950-03-26 06:00:01;1950-03-27 06:00:00;1950-03-26;0.0;G
1950-03-27 06:00:01;1950-03-28 06:00:00;1950-03-27;0.0;G
