Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sandbro;107050;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1959-05-01 00:00:00;1962-11-01 23:59:59;35.0;60.0042;17.5833

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1959-05-01 06:00:01;1959-05-02 06:00:00;1959-05-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1959-05-02 06:00:01;1959-05-03 06:00:00;1959-05-02;0.0;G;;Tidsperiod (fr.o.m.) = 1959-05-01 00:00:00 (UTC)
1959-05-03 06:00:01;1959-05-04 06:00:00;1959-05-03;0.0;G;;Tidsperiod (t.o.m.) = 1962-11-01 23:59:59 (UTC)
1959-05-04 06:00:01;1959-05-05 06:00:00;1959-05-04;0.0;G;;Värdet är summerat över = 24 timmar
1959-05-05 06:00:01;1959-05-06 06:00:00;1959-05-05;0.0;G;;
1959-05-06 06:00:01;1959-05-07 06:00:00;1959-05-06;0.0;G;;Kvalitetskoderna:
1959-05-07 06:00:01;1959-05-08 06:00:00;1959-05-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1959-05-08 06:00:01;1959-05-09 06:00:00;1959-05-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1959-05-09 06:00:01;1959-05-10 06:00:00;1959-05-09;0.0;G;;
1959-05-10 06:00:01;1959-05-11 06:00:00;1959-05-10;0.0;G;;Nätinformation:
1959-05-11 06:00:01;1959-05-12 06:00:00;1959-05-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1959-05-12 06:00:01;1959-05-13 06:00:00;1959-05-12;0.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1959-05-13 06:00:01;1959-05-14 06:00:00;1959-05-13;0.0;G;;
1959-05-14 06:00:01;1959-05-15 06:00:00;1959-05-14;0.0;G;;Möjliga orsaker till saknade data:
1959-05-15 06:00:01;1959-05-16 06:00:00;1959-05-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1959-05-16 06:00:01;1959-05-17 06:00:00;1959-05-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
