Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Dannemora;107120;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1963-03-01 00:00:00;1981-06-30 23:59:59;41.0;60.2026;17.9049

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1963-03-01 06:00:01;1963-03-02 06:00:00;1963-03-01;0.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1963-03-02 06:00:01;1963-03-03 06:00:00;1963-03-02;0.0;Y;;Tidsperiod (fr.o.m.) = 1963-03-01 00:00:00 (UTC)
1963-03-03 06:00:01;1963-03-04 06:00:00;1963-03-03;0.0;Y;;Tidsperiod (t.o.m.) = 1981-06-30 23:59:59 (UTC)
1963-03-04 06:00:01;1963-03-05 06:00:00;1963-03-04;0.0;Y;;Värdet är summerat över = 24 timmar
1963-03-05 06:00:01;1963-03-06 06:00:00;1963-03-05;0.0;Y;;
1963-03-06 06:00:01;1963-03-07 06:00:00;1963-03-06;2.0;Y;;Kvalitetskoderna:
1963-03-07 06:00:01;1963-03-08 06:00:00;1963-03-07;0.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1963-03-08 06:00:01;1963-03-09 06:00:00;1963-03-08;0.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1963-03-09 06:00:01;1963-03-10 06:00:00;1963-03-09;0.0;Y;;
1963-03-10 06:00:01;1963-03-11 06:00:00;1963-03-10;0.0;Y;;Nätinformation:
1963-03-11 06:00:01;1963-03-12 06:00:00;1963-03-11;2.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1963-03-12 06:00:01;1963-03-13 06:00:00;1963-03-12;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1963-03-13 06:00:01;1963-03-14 06:00:00;1963-03-13;0.0;Y;;
1963-03-14 06:00:01;1963-03-15 06:00:00;1963-03-14;0.0;Y;;Möjliga orsaker till saknade data:
1963-03-15 06:00:01;1963-03-16 06:00:00;1963-03-15;0.0;Y;;– stationen eller givaren har varit ur funktion.
1963-03-16 06:00:01;1963-03-17 06:00:00;1963-03-16;0.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1963-03-17 06:00:01;1963-03-18 06:00:00;1963-03-17;0.0;Y
1963-03-18 06:00:01;1963-03-19 06:00:00;1963-03-18;0.0;Y
1963-03-19 06:00:01;1963-03-20 06:00:00;1963-03-19;0.0;Y
1963-03-20 06:00:01;1963-03-21 06:00:00;1963-03-20;0.0;Y
1963-03-21 06:00:01;1963-03-22 06:00:00;1963-03-21;0.0;Y
1963-03-22 06:00:01;1963-03-23 06:00:00;1963-03-22;0.0;Y
1963-03-23 06:00:01;1963-03-24 06:00:00;1963-03-23;0.0;Y
1963-03-24 06:00:01;1963-03-25 06:00:00;1963-03-24;2.2;Y
1963-03-25 06:00:01;1963-03-26 06:00:00;1963-03-25;8.0;Y
1963-03-26 06:00:01;1963-03-27 06:00:00;1963-03-26;0.4;Y
1963-03-27 06:00:01;1963-03-28 06:00:00;1963-03-27;0.0;Y
1963-03-28 06:00:01;1963-03-29 06:00:00;1963-03-28;0.0;Y
1963-03-29 06:00:01;1963-03-30 06:00:00;1963-03-29;0.0;Y
1963-03-30 06:00:01;1963-03-31 06:00:00;1963-03-30;0.0;Y
1963-03-31 06:00:01;1963-04-01 06:00:00;1963-03-31;0.0;Y
1963-04-01 06:00:01;1963-04-02 06:00:00;1963-04-01;0.0;Y
1963-04-02 06:00:01;1963-04-03 06:00:00;1963-04-02;0.0;Y
1963-04-03 06:00:01;1963-04-04 06:00:00;1963-04-03;0.0;Y
1963-04-04 06:00:01;1963-04-05 06:00:00;1963-04-04;1.3;Y
1963-04-05 06:00:01;1963-04-06 06:00:00;1963-04-05;0.0;Y
