Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Utvalnäs Aut;107450;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-12-01 00:00:00;1990-10-31 23:59:59;3.0;60.7497;17.3472
1992-05-01 00:00:00;1992-06-30 23:59:59;5.0;60.7547;17.3574

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1977-12-01 06:00:01;1977-12-02 06:00:00;1977-12-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1977-12-02 06:00:01;1977-12-03 06:00:00;1977-12-02;0.0;G;;Tidsperiod (fr.o.m.) = 1977-12-01 00:00:00 (UTC)
1977-12-03 06:00:01;1977-12-04 06:00:00;1977-12-03;0.0;G;;Tidsperiod (t.o.m.) = 1992-06-30 23:59:59 (UTC)
1977-12-04 06:00:01;1977-12-05 06:00:00;1977-12-04;0.0;G;;Värdet är summerat över = 24 timmar
1977-12-05 06:00:01;1977-12-06 06:00:00;1977-12-05;1.2;G;;
1977-12-06 06:00:01;1977-12-07 06:00:00;1977-12-06;2.8;G;;Kvalitetskoderna:
1977-12-07 06:00:01;1977-12-08 06:00:00;1977-12-07;0.3;G;;Grön (G) = Kontrollerade och godkända värden.
1977-12-08 06:00:01;1977-12-09 06:00:00;1977-12-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1977-12-09 06:00:01;1977-12-10 06:00:00;1977-12-09;0.2;G;;
1977-12-10 06:00:01;1977-12-11 06:00:00;1977-12-10;0.0;G;;Nätinformation:
