Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Västra Banken;107530;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-07-01 00:00:00;1970-10-01 06:00:00;5.0;60.8800;17.9300

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1969-07-18 06:00:01;1969-07-19 06:00:00;1969-07-18;0.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-07-19 06:00:01;1969-07-20 06:00:00;1969-07-19;0.0;Y;;Tidsperiod (fr.o.m.) = 1969-07-18 00:00:00 (UTC)
1969-07-20 06:00:01;1969-07-21 06:00:00;1969-07-20;0.0;Y;;Tidsperiod (t.o.m.) = 1970-10-01 06:00:00 (UTC)
1969-07-21 06:00:01;1969-07-22 06:00:00;1969-07-21;0.0;Y;;Värdet är summerat över = 24 timmar
1969-07-22 06:00:01;1969-07-23 06:00:00;1969-07-22;0.0;Y;;
1969-07-23 06:00:01;1969-07-24 06:00:00;1969-07-23;0.0;Y;;Kvalitetskoderna:
1969-07-24 06:00:01;1969-07-25 06:00:00;1969-07-24;7.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-07-25 06:00:01;1969-07-26 06:00:00;1969-07-25;0.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-07-26 06:00:01;1969-07-27 06:00:00;1969-07-26;0.0;Y;;
1969-07-27 06:00:01;1969-07-28 06:00:00;1969-07-27;0.0;Y;;Nätinformation:
1969-07-28 06:00:01;1969-07-29 06:00:00;1969-07-28;0.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1969-07-29 06:00:01;1969-07-30 06:00:00;1969-07-29;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1969-07-30 06:00:01;1969-07-31 06:00:00;1969-07-30;0.0;Y;;
1969-07-31 06:00:01;1969-08-01 06:00:00;1969-07-31;0.0;Y;;Möjliga orsaker till saknade data:
1969-08-01 06:00:01;1969-08-02 06:00:00;1969-08-01;0.0;Y;;– stationen eller givaren har varit ur funktion.
1969-08-02 06:00:01;1969-08-03 06:00:00;1969-08-02;0.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1969-08-03 06:00:01;1969-08-04 06:00:00;1969-08-03;0.0;Y
1969-08-04 06:00:01;1969-08-05 06:00:00;1969-08-04;0.0;Y
1969-08-05 06:00:01;1969-08-06 06:00:00;1969-08-05;0.0;Y
1969-08-06 06:00:01;1969-08-07 06:00:00;1969-08-06;0.0;Y
1969-08-07 06:00:01;1969-08-08 06:00:00;1969-08-07;0.0;Y
1969-08-08 06:00:01;1969-08-09 06:00:00;1969-08-08;0.0;Y
1969-08-09 06:00:01;1969-08-10 06:00:00;1969-08-09;0.0;Y
1969-08-10 06:00:01;1969-08-11 06:00:00;1969-08-10;0.0;Y
1969-08-11 06:00:01;1969-08-12 06:00:00;1969-08-11;0.0;Y
1969-08-12 06:00:01;1969-08-13 06:00:00;1969-08-12;0.0;Y
1969-08-13 06:00:01;1969-08-14 06:00:00;1969-08-13;0.0;Y
1969-08-14 06:00:01;1969-08-15 06:00:00;1969-08-14;0.4;Y
1969-08-15 06:00:01;1969-08-16 06:00:00;1969-08-15;0.0;Y
1969-08-16 06:00:01;1969-08-17 06:00:00;1969-08-16;0.0;Y
1969-08-17 06:00:01;1969-08-18 06:00:00;1969-08-17;0.0;Y
