Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Säve-Skålvisered;71500;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-10-01 00:00:00;2008-01-01 23:59:59;20.0;57.8305;11.9200

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2002-10-01 06:00:01;2002-10-02 06:00:00;2002-10-01;0.9;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-10-02 06:00:01;2002-10-03 06:00:00;2002-10-02;0.0;G;;Tidsperiod (fr.o.m.) = 2002-10-01 00:00:00 (UTC)
2002-10-03 06:00:01;2002-10-04 06:00:00;2002-10-03;4.1;G;;Tidsperiod (t.o.m.) = 2008-01-01 23:59:59 (UTC)
2002-10-04 06:00:01;2002-10-05 06:00:00;2002-10-04;7.4;G;;Värdet är summerat över = 24 timmar
2002-10-05 06:00:01;2002-10-06 06:00:00;2002-10-05;0.4;G;;
2002-10-06 06:00:01;2002-10-07 06:00:00;2002-10-06;0.0;G;;Kvalitetskoderna:
2002-10-07 06:00:01;2002-10-08 06:00:00;2002-10-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
2002-10-08 06:00:01;2002-10-09 06:00:00;2002-10-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-10-09 06:00:01;2002-10-10 06:00:00;2002-10-09;0.0;G;;
2002-10-10 06:00:01;2002-10-11 06:00:00;2002-10-10;0.0;G;;Nätinformation:
2002-10-11 06:00:01;2002-10-12 06:00:00;2002-10-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2002-10-12 06:00:01;2002-10-13 06:00:00;2002-10-12;0.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2002-10-13 06:00:01;2002-10-14 06:00:00;2002-10-13;0.0;G;;
2002-10-14 06:00:01;2002-10-15 06:00:00;2002-10-14;3.9;G;;Möjliga orsaker till saknade data:
2002-10-15 06:00:01;2002-10-16 06:00:00;2002-10-15;4.2;G;;– stationen eller givaren har varit ur funktion.
2002-10-16 06:00:01;2002-10-17 06:00:00;2002-10-16;1.9;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2002-10-17 06:00:01;2002-10-18 06:00:00;2002-10-17;1.0;G
2002-10-18 06:00:01;2002-10-19 06:00:00;2002-10-18;11.0;G
2002-10-19 06:00:01;2002-10-20 06:00:00;2002-10-19;1.3;G
2002-10-20 06:00:01;2002-10-21 06:00:00;2002-10-20;0.9;G
2002-10-21 06:00:01;2002-10-22 06:00:00;2002-10-21;0.0;G
2002-10-22 06:00:01;2002-10-23 06:00:00;2002-10-22;5.1;G
2002-10-23 06:00:01;2002-10-24 06:00:00;2002-10-23;8.1;G
2002-10-24 06:00:01;2002-10-25 06:00:00;2002-10-24;2.2;G
2002-10-25 06:00:01;2002-10-26 06:00:00;2002-10-25;6.8;G
2002-10-26 06:00:01;2002-10-27 06:00:00;2002-10-26;2.0;G
2002-10-27 06:00:01;2002-10-28 06:00:00;2002-10-27;18.2;G
2002-10-28 06:00:01;2002-10-29 06:00:00;2002-10-28;0.0;G
2002-10-29 06:00:01;2002-10-30 06:00:00;2002-10-29;0.0;G
2002-10-30 06:00:01;2002-10-31 06:00:00;2002-10-30;0.0;G
2002-10-31 06:00:01;2002-11-01 06:00:00;2002-10-31;4.9;G
2002-11-01 06:00:01;2002-11-02 06:00:00;2002-11-01;0.0;G
2002-11-02 06:00:01;2002-11-03 06:00:00;2002-11-02;0.0;G
2002-11-03 06:00:01;2002-11-04 06:00:00;2002-11-03;0.0;G
2002-11-04 06:00:01;2002-11-05 06:00:00;2002-11-04;0.0;G
2002-11-05 06:00:01;2002-11-06 06:00:00;2002-11-05;0.0;G
2002-11-06 06:00:01;2002-11-07 06:00:00;2002-11-06;1.5;G
2002-11-07 06:00:01;2002-11-08 06:00:00;2002-11-07;3.0;G
2002-11-08 06:00:01;2002-11-09 06:00:00;2002-11-08;2.4;G
2002-11-09 06:00:01;2002-11-10 06:00:00;2002-11-09;0.7;G
2002-11-10 06:00:01;2002-11-11 06:00:00;2002-11-10;0.0;G
2002-11-11 06:00:01;2002-11-12 06:00:00;2002-11-11;0.0;G
2002-11-12 06:00:01;2002-11-13 06:00:00;2002-11-12;17.3;G
2002-11-13 06:00:01;2002-11-14 06:00:00;2002-11-13;2.8;G
2002-11-14 06:00:01;2002-11-15 06:00:00;2002-11-14;10.0;G
2002-11-15 06:00:01;2002-11-16 06:00:00;2002-11-15;0.0;G
2002-11-16 06:00:01;2002-11-17 06:00:00;2002-11-16;0.0;G
2002-11-17 06:00:01;2002-11-18 06:00:00;2002-11-17;1.1;G
2002-11-18 06:00:01;2002-11-19 06:00:00;2002-11-18;0.2;G
2002-11-19 06:00:01;2002-11-20 06:00:00;2002-11-19;0.0;G
2002-11-20 06:00:01;2002-11-21 06:00:00;2002-11-20;0.0;G
2002-11-21 06:00:01;2002-11-22 06:00:00;2002-11-21;0.0;G
2002-11-22 06:00:01;2002-11-23 06:00:00;2002-11-22;0.0;G
2002-11-23 06:00:01;2002-11-24 06:00:00;2002-11-23;17.3;G
2002-11-24 06:00:01;2002-11-25 06:00:00;2002-11-24;15.5;G
2002-11-25 06:00:01;2002-11-26 06:00:00;2002-11-25;6.3;G
2002-11-26 06:00:01;2002-11-27 06:00:00;2002-11-26;4.1;G
2002-11-27 06:00:01;2002-11-28 06:00:00;2002-11-27;0.0;G
2002-11-28 06:00:01;2002-11-29 06:00:00;2002-11-28;5.7;G
2002-11-29 06:00:01;2002-11-30 06:00:00;2002-11-29;9.9;G
2002-11-30 06:00:01;2002-12-01 06:00:00;2002-11-30;3.1;G
2002-12-01 06:00:01;2002-12-02 06:00:00;2002-12-01;0.0;G
2002-12-02 06:00:01;2002-12-03 06:00:00;2002-12-02;0.0;G
2002-12-03 06:00:01;2002-12-04 06:00:00;2002-12-03;0.0;G
2002-12-04 06:00:01;2002-12-05 06:00:00;2002-12-04;4.8;G
2002-12-05 06:00:01;2002-12-06 06:00:00;2002-12-05;0.3;G
2002-12-06 06:00:01;2002-12-07 06:00:00;2002-12-06;0.0;G
2002-12-07 06:00:01;2002-12-08 06:00:00;2002-12-07;0.0;G
2002-12-08 06:00:01;2002-12-09 06:00:00;2002-12-08;0.0;G
2002-12-09 06:00:01;2002-12-10 06:00:00;2002-12-09;0.0;G
2002-12-10 06:00:01;2002-12-11 06:00:00;2002-12-10;0.0;G
2002-12-11 06:00:01;2002-12-12 06:00:00;2002-12-11;0.0;G
2002-12-12 06:00:01;2002-12-13 06:00:00;2002-12-12;0.0;G
2002-12-13 06:00:01;2002-12-14 06:00:00;2002-12-13;0.0;G
2002-12-14 06:00:01;2002-12-15 06:00:00;2002-12-14;0.0;G
2002-12-15 06:00:01;2002-12-16 06:00:00;2002-12-15;0.0;G
2002-12-16 06:00:01;2002-12-17 06:00:00;2002-12-16;0.0;G
2002-12-17 06:00:01;2002-12-18 06:00:00;2002-12-17;0.2;G
2002-12-18 06:00:01;2002-12-19 06:00:00;2002-12-18;0.0;G
