Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Gislaved;73170;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1972-08-01 00:00:00;1979-12-01 23:59:59;165.0;57.2847;13.5324

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1972-08-01 06:00:01;1972-08-02 06:00:00;1972-08-01;32.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1972-08-02 06:00:01;1972-08-03 06:00:00;1972-08-02;0.2;Y;;Tidsperiod (fr.o.m.) = 1972-08-01 00:00:00 (UTC)
1972-08-03 06:00:01;1972-08-04 06:00:00;1972-08-03;3.0;Y;;Tidsperiod (t.o.m.) = 1979-12-01 23:59:59 (UTC)
1972-08-04 06:00:01;1972-08-05 06:00:00;1972-08-04;1.5;Y;;Värdet är summerat över = 24 timmar
1972-08-05 06:00:01;1972-08-06 06:00:00;1972-08-05;20.9;Y;;
1972-08-06 06:00:01;1972-08-07 06:00:00;1972-08-06;0.0;Y;;Kvalitetskoderna:
1972-08-07 06:00:01;1972-08-08 06:00:00;1972-08-07;0.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1972-08-08 06:00:01;1972-08-09 06:00:00;1972-08-08;3.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1972-08-09 06:00:01;1972-08-10 06:00:00;1972-08-09;0.5;Y;;
1972-08-10 06:00:01;1972-08-11 06:00:00;1972-08-10;0.9;Y;;Nätinformation:
1972-08-11 06:00:01;1972-08-12 06:00:00;1972-08-11;12.4;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1972-08-12 06:00:01;1972-08-13 06:00:00;1972-08-12;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1972-08-13 06:00:01;1972-08-14 06:00:00;1972-08-13;0.0;Y;;
1972-08-14 06:00:01;1972-08-15 06:00:00;1972-08-14;23.4;G;;Möjliga orsaker till saknade data:
1972-08-15 06:00:01;1972-08-16 06:00:00;1972-08-15;7.0;G;;– stationen eller givaren har varit ur funktion.
1972-08-16 06:00:01;1972-08-17 06:00:00;1972-08-16;0.2;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1972-08-17 06:00:01;1972-08-18 06:00:00;1972-08-17;14.0;G
1972-08-18 06:00:01;1972-08-19 06:00:00;1972-08-18;1.0;G
1972-08-19 06:00:01;1972-08-20 06:00:00;1972-08-19;0.2;G
1972-08-20 06:00:01;1972-08-21 06:00:00;1972-08-20;0.0;G
1972-08-21 06:00:01;1972-08-22 06:00:00;1972-08-21;0.0;G
1972-08-22 06:00:01;1972-08-23 06:00:00;1972-08-22;0.0;G
1972-08-23 06:00:01;1972-08-24 06:00:00;1972-08-23;2.6;G
1972-08-24 06:00:01;1972-08-25 06:00:00;1972-08-24;8.0;G
1972-08-25 06:00:01;1972-08-26 06:00:00;1972-08-25;0.0;G
1972-08-26 06:00:01;1972-08-27 06:00:00;1972-08-26;0.0;G
1972-08-27 06:00:01;1972-08-28 06:00:00;1972-08-27;0.0;G
1972-08-28 06:00:01;1972-08-29 06:00:00;1972-08-28;0.0;G
1972-08-29 06:00:01;1972-08-30 06:00:00;1972-08-29;0.0;G
1972-08-30 06:00:01;1972-08-31 06:00:00;1972-08-30;0.0;G
1972-08-31 06:00:01;1972-09-01 06:00:00;1972-08-31;0.0;G
