Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Fägerhult;73390;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2001-07-01 00:00:00;2010-06-30 23:59:59;170.0;57.6468;13.2369

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2001-07-01 06:00:01;2001-07-02 06:00:00;2001-07-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2001-07-02 06:00:01;2001-07-03 06:00:00;2001-07-02;0.0;G;;Tidsperiod (fr.o.m.) = 2001-07-01 00:00:00 (UTC)
2001-07-03 06:00:01;2001-07-04 06:00:00;2001-07-03;0.0;G;;Tidsperiod (t.o.m.) = 2010-06-30 23:59:59 (UTC)
2001-07-04 06:00:01;2001-07-05 06:00:00;2001-07-04;0.0;G;;Värdet är summerat över = 24 timmar
2001-07-05 06:00:01;2001-07-06 06:00:00;2001-07-05;0.0;G;;
2001-07-06 06:00:01;2001-07-07 06:00:00;2001-07-06;0.0;G;;Kvalitetskoderna:
2001-07-07 06:00:01;2001-07-08 06:00:00;2001-07-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
2001-07-08 06:00:01;2001-07-09 06:00:00;2001-07-08;11.1;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2001-07-09 06:00:01;2001-07-10 06:00:00;2001-07-09;51.7;G;;
2001-07-10 06:00:01;2001-07-11 06:00:00;2001-07-10;0.0;G;;Nätinformation:
2001-07-11 06:00:01;2001-07-12 06:00:00;2001-07-11;12.2;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2001-07-12 06:00:01;2001-07-13 06:00:00;2001-07-12;30.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2001-07-13 06:00:01;2001-07-14 06:00:00;2001-07-13;23.3;G;;
2001-07-14 06:00:01;2001-07-15 06:00:00;2001-07-14;1.5;G;;Möjliga orsaker till saknade data:
2001-07-15 06:00:01;2001-07-16 06:00:00;2001-07-15;0.4;G;;– stationen eller givaren har varit ur funktion.
2001-07-16 06:00:01;2001-07-17 06:00:00;2001-07-16;3.3;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2001-07-17 06:00:01;2001-07-18 06:00:00;2001-07-17;2.0;G
2001-07-18 06:00:01;2001-07-19 06:00:00;2001-07-18;0.2;G
2001-07-19 06:00:01;2001-07-20 06:00:00;2001-07-19;1.7;G
2001-07-20 06:00:01;2001-07-21 06:00:00;2001-07-20;1.6;G
2001-07-21 06:00:01;2001-07-22 06:00:00;2001-07-21;0.0;G
2001-07-22 06:00:01;2001-07-23 06:00:00;2001-07-22;0.0;G
2001-07-23 06:00:01;2001-07-24 06:00:00;2001-07-23;0.0;G
2001-07-24 06:00:01;2001-07-25 06:00:00;2001-07-24;0.0;G
2001-07-25 06:00:01;2001-07-26 06:00:00;2001-07-25;0.0;G
2001-07-26 06:00:01;2001-07-27 06:00:00;2001-07-26;0.0;G
2001-07-27 06:00:01;2001-07-28 06:00:00;2001-07-27;0.0;G
2001-07-28 06:00:01;2001-07-29 06:00:00;2001-07-28;0.0;G
2001-07-29 06:00:01;2001-07-30 06:00:00;2001-07-29;0.0;G
2001-07-30 06:00:01;2001-07-31 06:00:00;2001-07-30;1.9;G
2001-07-31 06:00:01;2001-08-01 06:00:00;2001-07-31;0.0;G
2001-08-01 06:00:01;2001-08-02 06:00:00;2001-08-01;0.0;G
2001-08-02 06:00:01;2001-08-03 06:00:00;2001-08-02;0.0;G
2001-08-03 06:00:01;2001-08-04 06:00:00;2001-08-03;3.9;G
2001-08-04 06:00:01;2001-08-05 06:00:00;2001-08-04;5.8;G
2001-08-05 06:00:01;2001-08-06 06:00:00;2001-08-05;7.6;G
2001-08-06 06:00:01;2001-08-07 06:00:00;2001-08-06;4.4;G
2001-08-07 06:00:01;2001-08-08 06:00:00;2001-08-07;0.5;G
2001-08-08 06:00:01;2001-08-09 06:00:00;2001-08-08;8.5;G
2001-08-09 06:00:01;2001-08-10 06:00:00;2001-08-09;8.3;G
2001-08-10 06:00:01;2001-08-11 06:00:00;2001-08-10;0.4;G
2001-08-11 06:00:01;2001-08-12 06:00:00;2001-08-11;8.2;G
2001-08-12 06:00:01;2001-08-13 06:00:00;2001-08-12;10.7;G
2001-08-13 06:00:01;2001-08-14 06:00:00;2001-08-13;1.6;G
2001-08-14 06:00:01;2001-08-15 06:00:00;2001-08-14;5.3;G
2001-08-15 06:00:01;2001-08-16 06:00:00;2001-08-15;0.0;G
2001-08-16 06:00:01;2001-08-17 06:00:00;2001-08-16;0.0;G
2001-08-17 06:00:01;2001-08-18 06:00:00;2001-08-17;0.0;G
2001-08-18 06:00:01;2001-08-19 06:00:00;2001-08-18;0.0;G
2001-08-19 06:00:01;2001-08-20 06:00:00;2001-08-19;0.0;G
2001-08-20 06:00:01;2001-08-21 06:00:00;2001-08-20;0.5;G
2001-08-21 06:00:01;2001-08-22 06:00:00;2001-08-21;0.0;G
2001-08-22 06:00:01;2001-08-23 06:00:00;2001-08-22;0.0;G
2001-08-23 06:00:01;2001-08-24 06:00:00;2001-08-23;9.0;G
2001-08-24 06:00:01;2001-08-25 06:00:00;2001-08-24;0.2;G
2001-08-25 06:00:01;2001-08-26 06:00:00;2001-08-25;0.0;G
2001-08-26 06:00:01;2001-08-27 06:00:00;2001-08-26;0.2;G
2001-08-27 06:00:01;2001-08-28 06:00:00;2001-08-27;2.1;G
2001-08-28 06:00:01;2001-08-29 06:00:00;2001-08-28;7.7;G
2001-08-29 06:00:01;2001-08-30 06:00:00;2001-08-29;0.0;G
2001-08-30 06:00:01;2001-08-31 06:00:00;2001-08-30;0.0;G
2001-08-31 06:00:01;2001-09-01 06:00:00;2001-08-31;4.4;G
2001-09-01 06:00:01;2001-09-02 06:00:00;2001-09-01;1.1;G
2001-09-02 06:00:01;2001-09-03 06:00:00;2001-09-02;12.1;G
2001-09-03 06:00:01;2001-09-04 06:00:00;2001-09-03;6.2;G
2001-09-04 06:00:01;2001-09-05 06:00:00;2001-09-04;0.9;G
2001-09-05 06:00:01;2001-09-06 06:00:00;2001-09-05;0.2;G
2001-09-06 06:00:01;2001-09-07 06:00:00;2001-09-06;0.9;G
2001-09-07 06:00:01;2001-09-08 06:00:00;2001-09-07;4.8;G
2001-09-08 06:00:01;2001-09-09 06:00:00;2001-09-08;4.9;G
2001-09-09 06:00:01;2001-09-10 06:00:00;2001-09-09;15.3;G
2001-09-10 06:00:01;2001-09-11 06:00:00;2001-09-10;1.5;G
2001-09-11 06:00:01;2001-09-12 06:00:00;2001-09-11;1.1;G
2001-09-12 06:00:01;2001-09-13 06:00:00;2001-09-12;0.0;G
2001-09-13 06:00:01;2001-09-14 06:00:00;2001-09-13;0.5;G
2001-09-14 06:00:01;2001-09-15 06:00:00;2001-09-14;1.4;G
2001-09-15 06:00:01;2001-09-16 06:00:00;2001-09-15;2.5;G
2001-09-16 06:00:01;2001-09-17 06:00:00;2001-09-16;11.8;G
2001-09-17 06:00:01;2001-09-18 06:00:00;2001-09-17;3.5;G
2001-09-18 06:00:01;2001-09-19 06:00:00;2001-09-18;2.2;G
2001-09-19 06:00:01;2001-09-20 06:00:00;2001-09-19;5.2;G
2001-09-20 06:00:01;2001-09-21 06:00:00;2001-09-20;1.1;G
2001-09-21 06:00:01;2001-09-22 06:00:00;2001-09-21;7.7;G
2001-09-22 06:00:01;2001-09-23 06:00:00;2001-09-22;8.8;G
2001-09-23 06:00:01;2001-09-24 06:00:00;2001-09-23;1.4;G
2001-09-24 06:00:01;2001-09-25 06:00:00;2001-09-24;0.0;G
2001-09-25 06:00:01;2001-09-26 06:00:00;2001-09-25;0.0;G
2001-09-26 06:00:01;2001-09-27 06:00:00;2001-09-26;0.0;G
2001-09-27 06:00:01;2001-09-28 06:00:00;2001-09-27;0.0;G
2001-09-28 06:00:01;2001-09-29 06:00:00;2001-09-28;0.0;G
2001-09-29 06:00:01;2001-09-30 06:00:00;2001-09-29;0.0;G
2001-09-30 06:00:01;2001-10-01 06:00:00;2001-09-30;2.1;G
2001-10-01 06:00:01;2001-10-02 06:00:00;2001-10-01;41.5;G
2001-10-02 06:00:01;2001-10-03 06:00:00;2001-10-02;1.3;G
2001-10-03 06:00:01;2001-10-04 06:00:00;2001-10-03;3.5;G
2001-10-04 06:00:01;2001-10-05 06:00:00;2001-10-04;11.9;G
2001-10-05 06:00:01;2001-10-06 06:00:00;2001-10-05;0.0;G
2001-10-06 06:00:01;2001-10-07 06:00:00;2001-10-06;0.0;G
2001-10-07 06:00:01;2001-10-08 06:00:00;2001-10-07;4.6;G
2001-10-08 06:00:01;2001-10-09 06:00:00;2001-10-08;4.4;G
2001-10-09 06:00:01;2001-10-10 06:00:00;2001-10-09;13.7;G
2001-10-10 06:00:01;2001-10-11 06:00:00;2001-10-10;17.4;G
2001-10-11 06:00:01;2001-10-12 06:00:00;2001-10-11;0.6;G
2001-10-12 06:00:01;2001-10-13 06:00:00;2001-10-12;2.5;G
2001-10-13 06:00:01;2001-10-14 06:00:00;2001-10-13;0.0;G
2001-10-14 06:00:01;2001-10-15 06:00:00;2001-10-14;0.0;G
2001-10-15 06:00:01;2001-10-16 06:00:00;2001-10-15;0.6;G
2001-10-16 06:00:01;2001-10-17 06:00:00;2001-10-16;2.0;G
2001-10-17 06:00:01;2001-10-18 06:00:00;2001-10-17;0.0;G
2001-10-18 06:00:01;2001-10-19 06:00:00;2001-10-18;0.0;G
2001-10-19 06:00:01;2001-10-20 06:00:00;2001-10-19;0.0;G
2001-10-20 06:00:01;2001-10-21 06:00:00;2001-10-20;0.0;G
2001-10-21 06:00:01;2001-10-22 06:00:00;2001-10-21;0.0;G
2001-10-22 06:00:01;2001-10-23 06:00:00;2001-10-22;0.0;G
2001-10-23 06:00:01;2001-10-24 06:00:00;2001-10-23;0.0;G
2001-10-24 06:00:01;2001-10-25 06:00:00;2001-10-24;0.5;G
2001-10-25 06:00:01;2001-10-26 06:00:00;2001-10-25;1.0;G
2001-10-26 06:00:01;2001-10-27 06:00:00;2001-10-26;1.3;G
2001-10-27 06:00:01;2001-10-28 06:00:00;2001-10-27;9.6;G
2001-10-28 06:00:01;2001-10-29 06:00:00;2001-10-28;12.2;G
2001-10-29 06:00:01;2001-10-30 06:00:00;2001-10-29;17.6;G
2001-10-30 06:00:01;2001-10-31 06:00:00;2001-10-30;4.9;G
2001-10-31 06:00:01;2001-11-01 06:00:00;2001-10-31;14.4;G
2001-11-01 06:00:01;2001-11-02 06:00:00;2001-11-01;0.0;G
2001-11-02 06:00:01;2001-11-03 06:00:00;2001-11-02;0.1;G
2001-11-03 06:00:01;2001-11-04 06:00:00;2001-11-03;0.1;G
2001-11-04 06:00:01;2001-11-05 06:00:00;2001-11-04;12.7;G
2001-11-05 06:00:01;2001-11-06 06:00:00;2001-11-05;2.3;G
2001-11-06 06:00:01;2001-11-07 06:00:00;2001-11-06;10.1;G
2001-11-07 06:00:01;2001-11-08 06:00:00;2001-11-07;2.1;G
2001-11-08 06:00:01;2001-11-09 06:00:00;2001-11-08;0.6;G
2001-11-09 06:00:01;2001-11-10 06:00:00;2001-11-09;0.0;G
