Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Mullsjö D;73560;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1962-02-28 23:59:59;226.0;57.9166;13.8833
1971-02-01 00:00:00;1971-08-01 23:59:59;240.0;57.9166;13.8833
1971-12-01 00:00:00;1980-01-01 23:59:59;245.0;57.9167;13.8881
2009-04-01 00:00:00;2020-05-01 11:14:04;270.0;57.9246;13.8806

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1961-01-01 06:00:01;1961-01-02 06:00:00;1961-01-01;0.4;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-01-02 06:00:01;1961-01-03 06:00:00;1961-01-02;0.2;G;;Tidsperiod (fr.o.m.) = 1961-01-01 00:00:00 (UTC)
1961-01-03 06:00:01;1961-01-04 06:00:00;1961-01-03;4.0;G;;Tidsperiod (t.o.m.) = 2020-05-01 11:14:04 (UTC)
1961-01-04 06:00:01;1961-01-05 06:00:00;1961-01-04;2.4;G;;Värdet är summerat över = 24 timmar
1961-01-05 06:00:01;1961-01-06 06:00:00;1961-01-05;0.1;G;;
1961-01-06 06:00:01;1961-01-07 06:00:00;1961-01-06;1.1;G;;Kvalitetskoderna:
1961-01-07 06:00:01;1961-01-08 06:00:00;1961-01-07;1.2;G;;Grön (G) = Kontrollerade och godkända värden.
1961-01-08 06:00:01;1961-01-09 06:00:00;1961-01-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-01-09 06:00:01;1961-01-10 06:00:00;1961-01-09;1.0;G;;
1961-01-10 06:00:01;1961-01-11 06:00:00;1961-01-10;0.4;G;;Nätinformation:
1961-01-11 06:00:01;1961-01-12 06:00:00;1961-01-11;0.6;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1961-01-12 06:00:01;1961-01-13 06:00:00;1961-01-12;0.4;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1961-01-13 06:00:01;1961-01-14 06:00:00;1961-01-13;0.2;G;;
1961-01-14 06:00:01;1961-01-15 06:00:00;1961-01-14;0.0;G;;Möjliga orsaker till saknade data:
1961-01-15 06:00:01;1961-01-16 06:00:00;1961-01-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1961-01-16 06:00:01;1961-01-17 06:00:00;1961-01-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1961-01-17 06:00:01;1961-01-18 06:00:00;1961-01-17;0.0;G
1961-01-18 06:00:01;1961-01-19 06:00:00;1961-01-18;0.0;G
1961-01-19 06:00:01;1961-01-20 06:00:00;1961-01-19;0.0;G
1961-01-20 06:00:01;1961-01-21 06:00:00;1961-01-20;0.0;G
1961-01-21 06:00:01;1961-01-22 06:00:00;1961-01-21;0.0;G
1961-01-22 06:00:01;1961-01-23 06:00:00;1961-01-22;0.1;G
1961-01-23 06:00:01;1961-01-24 06:00:00;1961-01-23;0.3;G
1961-01-24 06:00:01;1961-01-25 06:00:00;1961-01-24;0.5;G
1961-01-25 06:00:01;1961-01-26 06:00:00;1961-01-25;0.0;G
1961-01-26 06:00:01;1961-01-27 06:00:00;1961-01-26;0.0;G
1961-01-27 06:00:01;1961-01-28 06:00:00;1961-01-27;0.0;G
1961-01-28 06:00:01;1961-01-29 06:00:00;1961-01-28;1.3;G
1961-01-29 06:00:01;1961-01-30 06:00:00;1961-01-29;15.4;G
1961-01-30 06:00:01;1961-01-31 06:00:00;1961-01-30;4.4;G
1961-01-31 06:00:01;1961-02-01 06:00:00;1961-01-31;2.4;G
1961-02-01 06:00:01;1961-02-02 06:00:00;1961-02-01;8.9;G
1961-02-02 06:00:01;1961-02-03 06:00:00;1961-02-02;16.4;G
1961-02-03 06:00:01;1961-02-04 06:00:00;1961-02-03;0.7;G
1961-02-04 06:00:01;1961-02-05 06:00:00;1961-02-04;0.0;G
1961-02-05 06:00:01;1961-02-06 06:00:00;1961-02-05;0.0;G
1961-02-06 06:00:01;1961-02-07 06:00:00;1961-02-06;6.2;G
1961-02-07 06:00:01;1961-02-08 06:00:00;1961-02-07;1.2;G
1961-02-08 06:00:01;1961-02-09 06:00:00;1961-02-08;0.0;G
1961-02-09 06:00:01;1961-02-10 06:00:00;1961-02-09;0.8;G
1961-02-10 06:00:01;1961-02-11 06:00:00;1961-02-10;1.2;G
1961-02-11 06:00:01;1961-02-12 06:00:00;1961-02-11;0.0;G
1961-02-12 06:00:01;1961-02-13 06:00:00;1961-02-12;0.0;G
