Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Tinghalla;73660;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-03-01 00:00:00;1970-09-30 23:59:59;278.0;57.9666;13.8500
2024-07-01 00:00:00;2025-02-28 23:59:59;278.0;57.9536;13.8417

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1962-03-01 06:00:01;1962-03-02 06:00:00;1962-03-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-03-02 06:00:01;1962-03-03 06:00:00;1962-03-02;2.1;G;;Tidsperiod (fr.o.m.) = 1962-03-01 00:00:00 (UTC)
1962-03-03 06:00:01;1962-03-04 06:00:00;1962-03-03;5.4;G;;Tidsperiod (t.o.m.) = 2024-12-01 06:00:00 (UTC)
1962-03-04 06:00:01;1962-03-05 06:00:00;1962-03-04;0.2;G;;Värdet är summerat över = 24 timmar
1962-03-05 06:00:01;1962-03-06 06:00:00;1962-03-05;0.0;G;;
1962-03-06 06:00:01;1962-03-07 06:00:00;1962-03-06;0.0;G;;Kvalitetskoderna:
1962-03-07 06:00:01;1962-03-08 06:00:00;1962-03-07;0.8;G;;Grön (G) = Kontrollerade och godkända värden.
1962-03-08 06:00:01;1962-03-09 06:00:00;1962-03-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-03-09 06:00:01;1962-03-10 06:00:00;1962-03-09;0.0;G;;
1962-03-10 06:00:01;1962-03-11 06:00:00;1962-03-10;9.2;G;;Nätinformation:
1962-03-11 06:00:01;1962-03-12 06:00:00;1962-03-11;0.5;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-03-12 06:00:01;1962-03-13 06:00:00;1962-03-12;0.1;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-03-13 06:00:01;1962-03-14 06:00:00;1962-03-13;0.0;G;;
1962-03-14 06:00:01;1962-03-15 06:00:00;1962-03-14;0.0;G;;Möjliga orsaker till saknade data:
1962-03-15 06:00:01;1962-03-16 06:00:00;1962-03-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1962-03-16 06:00:01;1962-03-17 06:00:00;1962-03-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1962-03-17 06:00:01;1962-03-18 06:00:00;1962-03-17;0.0;G
1962-03-18 06:00:01;1962-03-19 06:00:00;1962-03-18;0.0;G
1962-03-19 06:00:01;1962-03-20 06:00:00;1962-03-19;0.0;G
1962-03-20 06:00:01;1962-03-21 06:00:00;1962-03-20;0.0;G
1962-03-21 06:00:01;1962-03-22 06:00:00;1962-03-21;0.0;G
1962-03-22 06:00:01;1962-03-23 06:00:00;1962-03-22;1.3;G
1962-03-23 06:00:01;1962-03-24 06:00:00;1962-03-23;0.0;G
1962-03-24 06:00:01;1962-03-25 06:00:00;1962-03-24;0.0;G
1962-03-25 06:00:01;1962-03-26 06:00:00;1962-03-25;0.1;G
1962-03-26 06:00:01;1962-03-27 06:00:00;1962-03-26;0.2;G
1962-03-27 06:00:01;1962-03-28 06:00:00;1962-03-27;0.0;G
1962-03-28 06:00:01;1962-03-29 06:00:00;1962-03-28;0.0;G
1962-03-29 06:00:01;1962-03-30 06:00:00;1962-03-29;0.0;G
1962-03-30 06:00:01;1962-03-31 06:00:00;1962-03-30;1.8;G
1962-03-31 06:00:01;1962-04-01 06:00:00;1962-03-31;13.8;G
1962-04-01 06:00:01;1962-04-02 06:00:00;1962-04-01;1.8;G
1962-04-02 06:00:01;1962-04-03 06:00:00;1962-04-02;0.4;G
1962-04-03 06:00:01;1962-04-04 06:00:00;1962-04-03;3.5;G
1962-04-04 06:00:01;1962-04-05 06:00:00;1962-04-04;0.0;G
1962-04-05 06:00:01;1962-04-06 06:00:00;1962-04-05;4.8;G
1962-04-06 06:00:01;1962-04-07 06:00:00;1962-04-06;7.0;G
1962-04-07 06:00:01;1962-04-08 06:00:00;1962-04-07;1.7;G
1962-04-08 06:00:01;1962-04-09 06:00:00;1962-04-08;3.4;G
1962-04-09 06:00:01;1962-04-10 06:00:00;1962-04-09;4.0;G
1962-04-10 06:00:01;1962-04-11 06:00:00;1962-04-10;1.0;G
1962-04-11 06:00:01;1962-04-12 06:00:00;1962-04-11;16.6;G
1962-04-12 06:00:01;1962-04-13 06:00:00;1962-04-12;0.7;G
1962-04-13 06:00:01;1962-04-14 06:00:00;1962-04-13;0.0;G
1962-04-14 06:00:01;1962-04-15 06:00:00;1962-04-14;0.0;G
1962-04-15 06:00:01;1962-04-16 06:00:00;1962-04-15;0.0;G
1962-04-16 06:00:01;1962-04-17 06:00:00;1962-04-16;1.0;G
1962-04-17 06:00:01;1962-04-18 06:00:00;1962-04-17;3.0;G
1962-04-18 06:00:01;1962-04-19 06:00:00;1962-04-18;0.0;G
1962-04-19 06:00:01;1962-04-20 06:00:00;1962-04-19;0.2;G
1962-04-20 06:00:01;1962-04-21 06:00:00;1962-04-20;0.0;G
1962-04-21 06:00:01;1962-04-22 06:00:00;1962-04-21;6.2;G
1962-04-22 06:00:01;1962-04-23 06:00:00;1962-04-22;0.0;G
1962-04-23 06:00:01;1962-04-24 06:00:00;1962-04-23;0.0;G
1962-04-24 06:00:01;1962-04-25 06:00:00;1962-04-24;0.0;G
1962-04-25 06:00:01;1962-04-26 06:00:00;1962-04-25;0.0;G
1962-04-26 06:00:01;1962-04-27 06:00:00;1962-04-26;6.9;G
1962-04-27 06:00:01;1962-04-28 06:00:00;1962-04-27;0.6;G
1962-04-28 06:00:01;1962-04-29 06:00:00;1962-04-28;0.0;G
1962-04-29 06:00:01;1962-04-30 06:00:00;1962-04-29;2.0;G
1962-04-30 06:00:01;1962-05-01 06:00:00;1962-04-30;0.0;G
1962-05-01 06:00:01;1962-05-02 06:00:00;1962-05-01;0.0;G
1962-05-02 06:00:01;1962-05-03 06:00:00;1962-05-02;0.3;G
1962-05-03 06:00:01;1962-05-04 06:00:00;1962-05-03;0.0;G
1962-05-04 06:00:01;1962-05-05 06:00:00;1962-05-04;0.0;G
1962-05-05 06:00:01;1962-05-06 06:00:00;1962-05-05;0.1;G
1962-05-06 06:00:01;1962-05-07 06:00:00;1962-05-06;3.5;G
1962-05-07 06:00:01;1962-05-08 06:00:00;1962-05-07;0.5;G
1962-05-08 06:00:01;1962-05-09 06:00:00;1962-05-08;0.3;G
1962-05-09 06:00:01;1962-05-10 06:00:00;1962-05-09;0.0;G
1962-05-10 06:00:01;1962-05-11 06:00:00;1962-05-10;3.6;G
1962-05-11 06:00:01;1962-05-12 06:00:00;1962-05-11;4.0;G
1962-05-12 06:00:01;1962-05-13 06:00:00;1962-05-12;0.0;G
1962-05-13 06:00:01;1962-05-14 06:00:00;1962-05-13;0.0;G
1962-05-14 06:00:01;1962-05-15 06:00:00;1962-05-14;0.0;G
1962-05-15 06:00:01;1962-05-16 06:00:00;1962-05-15;5.4;G
1962-05-16 06:00:01;1962-05-17 06:00:00;1962-05-16;1.2;G
1962-05-17 06:00:01;1962-05-18 06:00:00;1962-05-17;0.6;G
1962-05-18 06:00:01;1962-05-19 06:00:00;1962-05-18;5.1;G
1962-05-19 06:00:01;1962-05-20 06:00:00;1962-05-19;2.2;G
1962-05-20 06:00:01;1962-05-21 06:00:00;1962-05-20;0.0;G
1962-05-21 06:00:01;1962-05-22 06:00:00;1962-05-21;0.0;G
1962-05-22 06:00:01;1962-05-23 06:00:00;1962-05-22;3.1;G
1962-05-23 06:00:01;1962-05-24 06:00:00;1962-05-23;8.9;G
1962-05-24 06:00:01;1962-05-25 06:00:00;1962-05-24;10.8;G
1962-05-25 06:00:01;1962-05-26 06:00:00;1962-05-25;4.6;G
1962-05-26 06:00:01;1962-05-27 06:00:00;1962-05-26;0.4;G
1962-05-27 06:00:01;1962-05-28 06:00:00;1962-05-27;4.2;G
1962-05-28 06:00:01;1962-05-29 06:00:00;1962-05-28;0.0;G
1962-05-29 06:00:01;1962-05-30 06:00:00;1962-05-29;1.7;G
1962-05-30 06:00:01;1962-05-31 06:00:00;1962-05-30;1.0;G
1962-05-31 06:00:01;1962-06-01 06:00:00;1962-05-31;0.0;G
1962-06-01 06:00:01;1962-06-02 06:00:00;1962-06-01;0.0;G
1962-06-02 06:00:01;1962-06-03 06:00:00;1962-06-02;0.3;G
1962-06-03 06:00:01;1962-06-04 06:00:00;1962-06-03;0.0;G
1962-06-04 06:00:01;1962-06-05 06:00:00;1962-06-04;0.0;G
1962-06-05 06:00:01;1962-06-06 06:00:00;1962-06-05;0.0;G
1962-06-06 06:00:01;1962-06-07 06:00:00;1962-06-06;0.0;G
1962-06-07 06:00:01;1962-06-08 06:00:00;1962-06-07;0.0;G
1962-06-08 06:00:01;1962-06-09 06:00:00;1962-06-08;0.0;G
1962-06-09 06:00:01;1962-06-10 06:00:00;1962-06-09;0.0;G
1962-06-10 06:00:01;1962-06-11 06:00:00;1962-06-10;0.0;G
1962-06-11 06:00:01;1962-06-12 06:00:00;1962-06-11;1.2;G
1962-06-12 06:00:01;1962-06-13 06:00:00;1962-06-12;0.0;G
1962-06-13 06:00:01;1962-06-14 06:00:00;1962-06-13;7.3;G
1962-06-14 06:00:01;1962-06-15 06:00:00;1962-06-14;0.7;G
1962-06-15 06:00:01;1962-06-16 06:00:00;1962-06-15;0.0;G
1962-06-16 06:00:01;1962-06-17 06:00:00;1962-06-16;2.0;G
