Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Äspered;73690;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1952-11-01 00:00:00;1959-05-01 23:59:59;294.0;57.9331;13.1805

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1952-11-01 06:00:01;1952-11-02 06:00:00;1952-11-01;0.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1952-11-02 06:00:01;1952-11-03 06:00:00;1952-11-02;0.1;Y;;Tidsperiod (fr.o.m.) = 1952-11-01 00:00:00 (UTC)
1952-11-03 06:00:01;1952-11-04 06:00:00;1952-11-03;0.3;Y;;Tidsperiod (t.o.m.) = 1959-05-01 23:59:59 (UTC)
1952-11-04 06:00:01;1952-11-05 06:00:00;1952-11-04;9.0;Y;;Värdet är summerat över = 24 timmar
1952-11-05 06:00:01;1952-11-06 06:00:00;1952-11-05;3.2;Y;;
1952-11-06 06:00:01;1952-11-07 06:00:00;1952-11-06;0.3;Y;;Kvalitetskoderna:
1952-11-07 06:00:01;1952-11-08 06:00:00;1952-11-07;0.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1952-11-08 06:00:01;1952-11-09 06:00:00;1952-11-08;4.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1952-11-09 06:00:01;1952-11-10 06:00:00;1952-11-09;0.4;Y;;
1952-11-10 06:00:01;1952-11-11 06:00:00;1952-11-10;0.0;Y;;Nätinformation:
1952-11-11 06:00:01;1952-11-12 06:00:00;1952-11-11;0.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1952-11-12 06:00:01;1952-11-13 06:00:00;1952-11-12;2.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1952-11-13 06:00:01;1952-11-14 06:00:00;1952-11-13;0.8;Y;;
1952-11-14 06:00:01;1952-11-15 06:00:00;1952-11-14;1.5;Y;;Möjliga orsaker till saknade data:
1952-11-15 06:00:01;1952-11-16 06:00:00;1952-11-15;1.2;Y;;– stationen eller givaren har varit ur funktion.
1952-11-16 06:00:01;1952-11-17 06:00:00;1952-11-16;6.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1952-11-17 06:00:01;1952-11-18 06:00:00;1952-11-17;0.8;Y
1952-11-18 06:00:01;1952-11-19 06:00:00;1952-11-18;0.0;Y
1952-11-19 06:00:01;1952-11-20 06:00:00;1952-11-19;0.0;Y
1952-11-20 06:00:01;1952-11-21 06:00:00;1952-11-20;7.0;Y
1952-11-21 06:00:01;1952-11-22 06:00:00;1952-11-21;2.6;Y
1952-11-22 06:00:01;1952-11-23 06:00:00;1952-11-22;0.4;Y
1952-11-23 06:00:01;1952-11-24 06:00:00;1952-11-23;1.4;Y
1952-11-24 06:00:01;1952-11-25 06:00:00;1952-11-24;2.1;Y
1952-11-25 06:00:01;1952-11-26 06:00:00;1952-11-25;5.3;Y
1952-11-26 06:00:01;1952-11-27 06:00:00;1952-11-26;2.4;Y
1952-11-27 06:00:01;1952-11-28 06:00:00;1952-11-27;0.0;Y
1952-11-28 06:00:01;1952-11-29 06:00:00;1952-11-28;0.0;Y
1952-11-29 06:00:01;1952-11-30 06:00:00;1952-11-29;0.0;Y
1952-11-30 06:00:01;1952-12-01 06:00:00;1952-11-30;0.0;Y
1952-12-01 06:00:01;1952-12-02 06:00:00;1952-12-01;0.0;Y
1952-12-02 06:00:01;1952-12-03 06:00:00;1952-12-02;20.0;Y
1952-12-03 06:00:01;1952-12-04 06:00:00;1952-12-03;1.2;Y
1952-12-04 06:00:01;1952-12-05 06:00:00;1952-12-04;0.0;Y
1952-12-05 06:00:01;1952-12-06 06:00:00;1952-12-05;0.8;Y
1952-12-06 06:00:01;1952-12-07 06:00:00;1952-12-06;1.2;Y
1952-12-07 06:00:01;1952-12-08 06:00:00;1952-12-07;0.0;Y
1952-12-08 06:00:01;1952-12-09 06:00:00;1952-12-08;1.2;Y
1952-12-09 06:00:01;1952-12-10 06:00:00;1952-12-09;3.0;Y
1952-12-10 06:00:01;1952-12-11 06:00:00;1952-12-10;2.0;Y
1952-12-11 06:00:01;1952-12-12 06:00:00;1952-12-11;5.6;Y
1952-12-12 06:00:01;1952-12-13 06:00:00;1952-12-12;7.0;Y
1952-12-13 06:00:01;1952-12-14 06:00:00;1952-12-13;2.2;Y
1952-12-14 06:00:01;1952-12-15 06:00:00;1952-12-14;0.0;Y
1952-12-15 06:00:01;1952-12-16 06:00:00;1952-12-15;0.0;Y
1952-12-16 06:00:01;1952-12-17 06:00:00;1952-12-16;0.8;Y
1952-12-17 06:00:01;1952-12-18 06:00:00;1952-12-17;0.0;Y
1952-12-18 06:00:01;1952-12-19 06:00:00;1952-12-18;0.0;Y
1952-12-19 06:00:01;1952-12-20 06:00:00;1952-12-19;0.5;Y
1952-12-20 06:00:01;1952-12-21 06:00:00;1952-12-20;0.3;Y
1952-12-21 06:00:01;1952-12-22 06:00:00;1952-12-21;0.8;Y
1952-12-22 06:00:01;1952-12-23 06:00:00;1952-12-22;0.0;Y
1952-12-23 06:00:01;1952-12-24 06:00:00;1952-12-23;1.6;Y
1952-12-24 06:00:01;1952-12-25 06:00:00;1952-12-24;9.2;Y
1952-12-25 06:00:01;1952-12-26 06:00:00;1952-12-25;2.8;Y
1952-12-26 06:00:01;1952-12-27 06:00:00;1952-12-26;0.0;Y
1952-12-27 06:00:01;1952-12-28 06:00:00;1952-12-27;0.0;Y
1952-12-28 06:00:01;1952-12-29 06:00:00;1952-12-28;1.4;Y
1952-12-29 06:00:01;1952-12-30 06:00:00;1952-12-29;1.9;Y
1952-12-30 06:00:01;1952-12-31 06:00:00;1952-12-30;0.8;Y
1952-12-31 06:00:01;1953-01-01 06:00:00;1952-12-31;1.8;Y
1953-01-01 06:00:01;1953-01-02 06:00:00;1953-01-01;1.9;Y
1953-01-02 06:00:01;1953-01-03 06:00:00;1953-01-02;0.0;Y
1953-01-03 06:00:01;1953-01-04 06:00:00;1953-01-03;0.0;Y
1953-01-04 06:00:01;1953-01-05 06:00:00;1953-01-04;0.0;Y
1953-01-05 06:00:01;1953-01-06 06:00:00;1953-01-05;0.1;Y
1953-01-06 06:00:01;1953-01-07 06:00:00;1953-01-06;1.2;Y
1953-01-07 06:00:01;1953-01-08 06:00:00;1953-01-07;0.0;Y
1953-01-08 06:00:01;1953-01-09 06:00:00;1953-01-08;2.2;Y
1953-01-09 06:00:01;1953-01-10 06:00:00;1953-01-09;3.0;Y
1953-01-10 06:00:01;1953-01-11 06:00:00;1953-01-10;0.0;Y
1953-01-11 06:00:01;1953-01-12 06:00:00;1953-01-11;0.0;Y
1953-01-12 06:00:01;1953-01-13 06:00:00;1953-01-12;2.0;Y
1953-01-13 06:00:01;1953-01-14 06:00:00;1953-01-13;1.9;Y
1953-01-14 06:00:01;1953-01-15 06:00:00;1953-01-14;5.5;Y
1953-01-15 06:00:01;1953-01-16 06:00:00;1953-01-15;13.1;Y
1953-01-16 06:00:01;1953-01-17 06:00:00;1953-01-16;0.0;Y
1953-01-17 06:00:01;1953-01-18 06:00:00;1953-01-17;2.0;Y
