Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Aneby;74510;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2001-04-01 00:00:00;2005-07-01 23:59:59;240.0;57.8232;14.8913

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2001-04-01 06:00:01;2001-04-02 06:00:00;2001-04-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2001-04-02 06:00:01;2001-04-03 06:00:00;2001-04-02;0.0;G;;Tidsperiod (fr.o.m.) = 2001-04-01 00:00:00 (UTC)
2001-04-03 06:00:01;2001-04-04 06:00:00;2001-04-03;0.9;G;;Tidsperiod (t.o.m.) = 2005-07-01 23:59:59 (UTC)
2001-04-04 06:00:01;2001-04-05 06:00:00;2001-04-04;5.7;G;;Värdet är summerat över = 24 timmar
2001-04-05 06:00:01;2001-04-06 06:00:00;2001-04-05;1.0;G;;
2001-04-06 06:00:01;2001-04-07 06:00:00;2001-04-06;1.4;G;;Kvalitetskoderna:
2001-04-07 06:00:01;2001-04-08 06:00:00;2001-04-07;2.7;G;;Grön (G) = Kontrollerade och godkända värden.
2001-04-08 06:00:01;2001-04-09 06:00:00;2001-04-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2001-04-09 06:00:01;2001-04-10 06:00:00;2001-04-09;0.0;G;;
2001-04-10 06:00:01;2001-04-11 06:00:00;2001-04-10;0.0;G;;Nätinformation:
2001-04-11 06:00:01;2001-04-12 06:00:00;2001-04-11;3.5;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
