Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Garn;82030;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-03-01 00:00:00;2008-11-30 23:59:59;15.0;58.0492;12.1563

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1994-03-01 06:00:01;1994-03-02 06:00:00;1994-03-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1994-03-02 06:00:01;1994-03-03 06:00:00;1994-03-02;4.2;G;;Tidsperiod (fr.o.m.) = 1994-03-02 06:00:00 (UTC)
1994-03-03 06:00:01;1994-03-04 06:00:00;1994-03-03;5.2;G;;Tidsperiod (t.o.m.) = 2008-11-30 23:59:59 (UTC)
1994-03-04 06:00:01;1994-03-05 06:00:00;1994-03-04;0.2;G;;Värdet är summerat över = 24 timmar
1994-03-05 06:00:01;1994-03-06 06:00:00;1994-03-05;13.7;G;;
1994-03-06 06:00:01;1994-03-07 06:00:00;1994-03-06;6.2;G;;Kvalitetskoderna:
1994-03-07 06:00:01;1994-03-08 06:00:00;1994-03-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1994-03-08 06:00:01;1994-03-09 06:00:00;1994-03-08;9.3;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1994-03-09 06:00:01;1994-03-10 06:00:00;1994-03-09;0.6;G;;
1994-03-10 06:00:01;1994-03-11 06:00:00;1994-03-10;0.7;G;;Nätinformation:
1994-03-11 06:00:01;1994-03-12 06:00:00;1994-03-11;8.6;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1994-03-12 06:00:01;1994-03-13 06:00:00;1994-03-12;1.4;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1994-03-13 06:00:01;1994-03-14 06:00:00;1994-03-13;11.8;G;;
1994-03-14 06:00:01;1994-03-15 06:00:00;1994-03-14;4.8;G;;Möjliga orsaker till saknade data:
1994-03-15 06:00:01;1994-03-16 06:00:00;1994-03-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1994-03-16 06:00:01;1994-03-17 06:00:00;1994-03-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1994-03-17 06:00:01;1994-03-18 06:00:00;1994-03-17;0.0;G
1994-03-18 06:00:01;1994-03-19 06:00:00;1994-03-18;0.0;G
1994-03-19 06:00:01;1994-03-20 06:00:00;1994-03-19;0.0;G
1994-03-20 06:00:01;1994-03-21 06:00:00;1994-03-20;0.0;G
1994-03-21 06:00:01;1994-03-22 06:00:00;1994-03-21;0.0;G
1994-03-22 06:00:01;1994-03-23 06:00:00;1994-03-22;5.5;G
1994-03-23 06:00:01;1994-03-24 06:00:00;1994-03-23;18.3;G
1994-03-24 06:00:01;1994-03-25 06:00:00;1994-03-24;0.0;G
1994-03-25 06:00:01;1994-03-26 06:00:00;1994-03-25;0.0;G
1994-03-26 06:00:01;1994-03-27 06:00:00;1994-03-26;0.0;G
1994-03-27 06:00:01;1994-03-28 06:00:00;1994-03-27;0.0;G
1994-03-28 06:00:01;1994-03-29 06:00:00;1994-03-28;12.0;G
1994-03-29 06:00:01;1994-03-30 06:00:00;1994-03-29;0.9;G
1994-03-30 06:00:01;1994-03-31 06:00:00;1994-03-30;0.0;G
1994-03-31 06:00:01;1994-04-01 06:00:00;1994-03-31;10.5;G
1994-04-01 06:00:01;1994-04-02 06:00:00;1994-04-01;12.9;G
1994-04-02 06:00:01;1994-04-03 06:00:00;1994-04-02;0.9;G
1994-04-03 06:00:01;1994-04-04 06:00:00;1994-04-03;0.0;G
1994-04-04 06:00:01;1994-04-05 06:00:00;1994-04-04;3.7;G
1994-04-05 06:00:01;1994-04-06 06:00:00;1994-04-05;4.2;G
1994-04-06 06:00:01;1994-04-07 06:00:00;1994-04-06;9.6;G
1994-04-07 06:00:01;1994-04-08 06:00:00;1994-04-07;1.0;G
1994-04-08 06:00:01;1994-04-09 06:00:00;1994-04-08;0.0;G
1994-04-09 06:00:01;1994-04-10 06:00:00;1994-04-09;0.0;G
1994-04-10 06:00:01;1994-04-11 06:00:00;1994-04-10;0.0;G
1994-04-11 06:00:01;1994-04-12 06:00:00;1994-04-11;0.0;G
1994-04-12 06:00:01;1994-04-13 06:00:00;1994-04-12;0.0;G
1994-04-13 06:00:01;1994-04-14 06:00:00;1994-04-13;10.9;G
1994-04-14 06:00:01;1994-04-15 06:00:00;1994-04-14;1.6;G
1994-04-15 06:00:01;1994-04-16 06:00:00;1994-04-15;0.0;G
1994-04-16 06:00:01;1994-04-17 06:00:00;1994-04-16;0.0;G
1994-04-17 06:00:01;1994-04-18 06:00:00;1994-04-17;0.0;G
1994-04-18 06:00:01;1994-04-19 06:00:00;1994-04-18;0.0;G
1994-04-19 06:00:01;1994-04-20 06:00:00;1994-04-19;0.0;G
1994-04-20 06:00:01;1994-04-21 06:00:00;1994-04-20;0.0;G
1994-04-21 06:00:01;1994-04-22 06:00:00;1994-04-21;0.0;G
1994-04-22 06:00:01;1994-04-23 06:00:00;1994-04-22;0.0;G
1994-04-23 06:00:01;1994-04-24 06:00:00;1994-04-23;0.0;G
1994-04-24 06:00:01;1994-04-25 06:00:00;1994-04-24;0.0;G
1994-04-25 06:00:01;1994-04-26 06:00:00;1994-04-25;0.0;G
1994-04-26 06:00:01;1994-04-27 06:00:00;1994-04-26;0.0;G
1994-04-27 06:00:01;1994-04-28 06:00:00;1994-04-27;0.0;G
1994-04-28 06:00:01;1994-04-29 06:00:00;1994-04-28;0.1;G
1994-04-29 06:00:01;1994-04-30 06:00:00;1994-04-29;4.6;G
1994-04-30 06:00:01;1994-05-01 06:00:00;1994-04-30;5.0;G
1994-05-01 06:00:01;1994-05-02 06:00:00;1994-05-01;0.0;G
1994-05-02 06:00:01;1994-05-03 06:00:00;1994-05-02;0.0;G
1994-05-03 06:00:01;1994-05-04 06:00:00;1994-05-03;0.0;G
1994-05-04 06:00:01;1994-05-05 06:00:00;1994-05-04;0.0;G
1994-05-05 06:00:01;1994-05-06 06:00:00;1994-05-05;0.0;G
1994-05-06 06:00:01;1994-05-07 06:00:00;1994-05-06;0.0;G
1994-05-07 06:00:01;1994-05-08 06:00:00;1994-05-07;0.0;G
1994-05-08 06:00:01;1994-05-09 06:00:00;1994-05-08;0.0;G
1994-05-09 06:00:01;1994-05-10 06:00:00;1994-05-09;0.0;G
1994-05-10 06:00:01;1994-05-11 06:00:00;1994-05-10;0.0;G
1994-05-11 06:00:01;1994-05-12 06:00:00;1994-05-11;0.0;G
1994-05-12 06:00:01;1994-05-13 06:00:00;1994-05-12;0.0;G
1994-05-13 06:00:01;1994-05-14 06:00:00;1994-05-13;0.0;G
1994-05-14 06:00:01;1994-05-15 06:00:00;1994-05-14;0.0;G
1994-05-15 06:00:01;1994-05-16 06:00:00;1994-05-15;0.6;G
1994-05-16 06:00:01;1994-05-17 06:00:00;1994-05-16;0.0;G
1994-05-17 06:00:01;1994-05-18 06:00:00;1994-05-17;1.3;G
1994-05-18 06:00:01;1994-05-19 06:00:00;1994-05-18;0.0;G
1994-05-19 06:00:01;1994-05-20 06:00:00;1994-05-19;0.0;G
1994-05-20 06:00:01;1994-05-21 06:00:00;1994-05-20;0.0;G
1994-05-21 06:00:01;1994-05-22 06:00:00;1994-05-21;0.0;G
1994-05-22 06:00:01;1994-05-23 06:00:00;1994-05-22;0.0;G
1994-05-23 06:00:01;1994-05-24 06:00:00;1994-05-23;0.0;G
1994-05-24 06:00:01;1994-05-25 06:00:00;1994-05-24;0.4;G
1994-05-25 06:00:01;1994-05-26 06:00:00;1994-05-25;0.0;G
1994-05-26 06:00:01;1994-05-27 06:00:00;1994-05-26;0.0;G
1994-05-27 06:00:01;1994-05-28 06:00:00;1994-05-27;0.0;G
1994-05-28 06:00:01;1994-05-29 06:00:00;1994-05-28;0.0;G
1994-05-29 06:00:01;1994-05-30 06:00:00;1994-05-29;2.1;G
1994-05-30 06:00:01;1994-05-31 06:00:00;1994-05-30;3.4;G
1994-05-31 06:00:01;1994-06-01 06:00:00;1994-05-31;1.2;G
1994-06-01 06:00:01;1994-06-02 06:00:00;1994-06-01;0.0;G
1994-06-02 06:00:01;1994-06-03 06:00:00;1994-06-02;17.3;G
1994-06-03 06:00:01;1994-06-04 06:00:00;1994-06-03;13.1;G
1994-06-04 06:00:01;1994-06-05 06:00:00;1994-06-04;2.6;G
1994-06-05 06:00:01;1994-06-06 06:00:00;1994-06-05;0.0;G
1994-06-06 06:00:01;1994-06-07 06:00:00;1994-06-06;1.4;G
1994-06-07 06:00:01;1994-06-08 06:00:00;1994-06-07;0.0;G
1994-06-08 06:00:01;1994-06-09 06:00:00;1994-06-08;0.0;G
1994-06-09 06:00:01;1994-06-10 06:00:00;1994-06-09;0.0;G
1994-06-10 06:00:01;1994-06-11 06:00:00;1994-06-10;7.3;G
1994-06-11 06:00:01;1994-06-12 06:00:00;1994-06-11;0.0;G
1994-06-12 06:00:01;1994-06-13 06:00:00;1994-06-12;0.0;G
1994-06-13 06:00:01;1994-06-14 06:00:00;1994-06-13;0.0;G
1994-06-14 06:00:01;1994-06-15 06:00:00;1994-06-14;0.0;G
1994-06-15 06:00:01;1994-06-16 06:00:00;1994-06-15;0.0;G
1994-06-16 06:00:01;1994-06-17 06:00:00;1994-06-16;3.5;G
1994-06-17 06:00:01;1994-06-18 06:00:00;1994-06-17;0.0;G
1994-06-18 06:00:01;1994-06-19 06:00:00;1994-06-18;11.7;G
1994-06-19 06:00:01;1994-06-20 06:00:00;1994-06-19;0.0;G
1994-06-20 06:00:01;1994-06-21 06:00:00;1994-06-20;0.0;G
1994-06-21 06:00:01;1994-06-22 06:00:00;1994-06-21;15.3;G
