Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Såtenäs D;82250;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-06-01 00:00:00;2010-07-01 23:59:59;55.0;58.4397;12.6928

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2002-06-01 06:00:01;2002-06-02 06:00:00;2002-06-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-06-02 06:00:01;2002-06-03 06:00:00;2002-06-02;0.0;G;;Tidsperiod (fr.o.m.) = 2002-06-01 00:00:00 (UTC)
2002-06-03 06:00:01;2002-06-04 06:00:00;2002-06-03;0.0;G;;Tidsperiod (t.o.m.) = 2010-07-01 23:59:59 (UTC)
2002-06-04 06:00:01;2002-06-05 06:00:00;2002-06-04;0.0;G;;Värdet är summerat över = 24 timmar
2002-06-05 06:00:01;2002-06-06 06:00:00;2002-06-05;0.0;G;;
2002-06-06 06:00:01;2002-06-07 06:00:00;2002-06-06;0.0;G;;Kvalitetskoderna:
2002-06-07 06:00:01;2002-06-08 06:00:00;2002-06-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
2002-06-08 06:00:01;2002-06-09 06:00:00;2002-06-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-06-09 06:00:01;2002-06-10 06:00:00;2002-06-09;0.0;G;;
2002-06-10 06:00:01;2002-06-11 06:00:00;2002-06-10;4.8;G;;Nätinformation:
2002-06-11 06:00:01;2002-06-12 06:00:00;2002-06-11;9.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2002-06-12 06:00:01;2002-06-13 06:00:00;2002-06-12;9.5;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2002-06-13 06:00:01;2002-06-14 06:00:00;2002-06-13;2.0;G;;
2002-06-14 06:00:01;2002-06-15 06:00:00;2002-06-14;0.0;G;;Möjliga orsaker till saknade data:
2002-06-15 06:00:01;2002-06-16 06:00:00;2002-06-15;7.7;G;;– stationen eller givaren har varit ur funktion.
2002-06-16 06:00:01;2002-06-17 06:00:00;2002-06-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2002-06-17 06:00:01;2002-06-18 06:00:00;2002-06-17;0.0;G
2002-06-18 06:00:01;2002-06-19 06:00:00;2002-06-18;9.1;G
2002-06-19 06:00:01;2002-06-20 06:00:00;2002-06-19;0.0;G
2002-06-20 06:00:01;2002-06-21 06:00:00;2002-06-20;13.9;G
2002-06-21 06:00:01;2002-06-22 06:00:00;2002-06-21;0.0;G
2002-06-22 06:00:01;2002-06-23 06:00:00;2002-06-22;3.0;G
2002-06-23 06:00:01;2002-06-24 06:00:00;2002-06-23;1.9;G
2002-06-24 06:00:01;2002-06-25 06:00:00;2002-06-24;4.5;G
2002-06-25 06:00:01;2002-06-26 06:00:00;2002-06-25;0.0;G
2002-06-26 06:00:01;2002-06-27 06:00:00;2002-06-26;8.9;G
2002-06-27 06:00:01;2002-06-28 06:00:00;2002-06-27;0.7;G
2002-06-28 06:00:01;2002-06-29 06:00:00;2002-06-28;5.2;G
2002-06-29 06:00:01;2002-06-30 06:00:00;2002-06-29;1.1;G
2002-06-30 06:00:01;2002-07-01 06:00:00;2002-06-30;8.1;G
2002-07-01 06:00:01;2002-07-02 06:00:00;2002-07-01;2.5;G
2002-07-02 06:00:01;2002-07-03 06:00:00;2002-07-02;8.2;G
2002-07-03 06:00:01;2002-07-04 06:00:00;2002-07-03;3.4;G
2002-07-04 06:00:01;2002-07-05 06:00:00;2002-07-04;0.0;G
2002-07-05 06:00:01;2002-07-06 06:00:00;2002-07-05;0.0;G
2002-07-06 06:00:01;2002-07-07 06:00:00;2002-07-06;0.0;G
2002-07-07 06:00:01;2002-07-08 06:00:00;2002-07-07;0.0;G
2002-07-08 06:00:01;2002-07-09 06:00:00;2002-07-08;1.0;G
2002-07-09 06:00:01;2002-07-10 06:00:00;2002-07-09;0.0;G
2002-07-10 06:00:01;2002-07-11 06:00:00;2002-07-10;13.7;G
2002-07-11 06:00:01;2002-07-12 06:00:00;2002-07-11;0.8;G
2002-07-12 06:00:01;2002-07-13 06:00:00;2002-07-12;0.0;G
2002-07-13 06:00:01;2002-07-14 06:00:00;2002-07-13;0.0;G
2002-07-14 06:00:01;2002-07-15 06:00:00;2002-07-14;0.0;G
2002-07-15 06:00:01;2002-07-16 06:00:00;2002-07-15;0.0;G
2002-07-16 06:00:01;2002-07-17 06:00:00;2002-07-16;0.0;G
2002-07-17 06:00:01;2002-07-18 06:00:00;2002-07-17;7.2;G
2002-07-18 06:00:01;2002-07-19 06:00:00;2002-07-18;1.7;G
2002-07-19 06:00:01;2002-07-20 06:00:00;2002-07-19;0.0;G
2002-07-20 06:00:01;2002-07-21 06:00:00;2002-07-20;0.0;G
2002-07-21 06:00:01;2002-07-22 06:00:00;2002-07-21;25.1;G
2002-07-22 06:00:01;2002-07-23 06:00:00;2002-07-22;18.0;G
2002-07-23 06:00:01;2002-07-24 06:00:00;2002-07-23;5.1;G
2002-07-24 06:00:01;2002-07-25 06:00:00;2002-07-24;3.6;G
2002-07-25 06:00:01;2002-07-26 06:00:00;2002-07-25;0.4;G
2002-07-26 06:00:01;2002-07-27 06:00:00;2002-07-26;0.3;G
2002-07-27 06:00:01;2002-07-28 06:00:00;2002-07-27;0.0;G
2002-07-28 06:00:01;2002-07-29 06:00:00;2002-07-28;0.0;G
2002-07-29 06:00:01;2002-07-30 06:00:00;2002-07-29;0.0;G
2002-07-30 06:00:01;2002-07-31 06:00:00;2002-07-30;0.0;G
2002-07-31 06:00:01;2002-08-01 06:00:00;2002-07-31;0.0;G
2002-08-01 06:00:01;2002-08-02 06:00:00;2002-08-01;2.6;G
2002-08-02 06:00:01;2002-08-03 06:00:00;2002-08-02;0.3;G
2002-08-03 06:00:01;2002-08-04 06:00:00;2002-08-03;0.0;G
2002-08-04 06:00:01;2002-08-05 06:00:00;2002-08-04;0.0;G
2002-08-05 06:00:01;2002-08-06 06:00:00;2002-08-05;0.0;G
2002-08-06 06:00:01;2002-08-07 06:00:00;2002-08-06;0.0;G
2002-08-07 06:00:01;2002-08-08 06:00:00;2002-08-07;0.0;G
2002-08-08 06:00:01;2002-08-09 06:00:00;2002-08-08;0.0;G
2002-08-09 06:00:01;2002-08-10 06:00:00;2002-08-09;4.2;G
2002-08-10 06:00:01;2002-08-11 06:00:00;2002-08-10;0.0;G
2002-08-11 06:00:01;2002-08-12 06:00:00;2002-08-11;0.0;G
2002-08-12 06:00:01;2002-08-13 06:00:00;2002-08-12;32.1;G
2002-08-13 06:00:01;2002-08-14 06:00:00;2002-08-13;1.0;G
2002-08-14 06:00:01;2002-08-15 06:00:00;2002-08-14;0.0;G
2002-08-15 06:00:01;2002-08-16 06:00:00;2002-08-15;0.0;G
2002-08-16 06:00:01;2002-08-17 06:00:00;2002-08-16;0.0;G
2002-08-17 06:00:01;2002-08-18 06:00:00;2002-08-17;0.0;G
2002-08-18 06:00:01;2002-08-19 06:00:00;2002-08-18;0.0;G
2002-08-19 06:00:01;2002-08-20 06:00:00;2002-08-19;0.0;G
2002-08-20 06:00:01;2002-08-21 06:00:00;2002-08-20;0.0;G
2002-08-21 06:00:01;2002-08-22 06:00:00;2002-08-21;0.0;G
2002-08-22 06:00:01;2002-08-23 06:00:00;2002-08-22;0.0;G
2002-08-23 06:00:01;2002-08-24 06:00:00;2002-08-23;0.0;G
2002-08-24 06:00:01;2002-08-25 06:00:00;2002-08-24;0.0;G
2002-08-25 06:00:01;2002-08-26 06:00:00;2002-08-25;0.0;G
2002-08-26 06:00:01;2002-08-27 06:00:00;2002-08-26;0.0;G
2002-08-27 06:00:01;2002-08-28 06:00:00;2002-08-27;1.4;G
2002-08-28 06:00:01;2002-08-29 06:00:00;2002-08-28;0.0;G
2002-08-29 06:00:01;2002-08-30 06:00:00;2002-08-29;0.2;G
2002-08-30 06:00:01;2002-08-31 06:00:00;2002-08-30;0.0;G
2002-08-31 06:00:01;2002-09-01 06:00:00;2002-08-31;5.9;G
2002-09-01 06:00:01;2002-09-02 06:00:00;2002-09-01;0.0;G
2002-09-02 06:00:01;2002-09-03 06:00:00;2002-09-02;0.0;G
2002-09-03 06:00:01;2002-09-04 06:00:00;2002-09-03;0.0;G
2002-09-04 06:00:01;2002-09-05 06:00:00;2002-09-04;3.2;G
2002-09-05 06:00:01;2002-09-06 06:00:00;2002-09-05;0.0;G
2002-09-06 06:00:01;2002-09-07 06:00:00;2002-09-06;1.9;G
2002-09-07 06:00:01;2002-09-08 06:00:00;2002-09-07;0.0;G
2002-09-08 06:00:01;2002-09-09 06:00:00;2002-09-08;0.0;G
2002-09-09 06:00:01;2002-09-10 06:00:00;2002-09-09;0.0;G
2002-09-10 06:00:01;2002-09-11 06:00:00;2002-09-10;0.0;G
2002-09-11 06:00:01;2002-09-12 06:00:00;2002-09-11;0.0;G
2002-09-12 06:00:01;2002-09-13 06:00:00;2002-09-12;0.0;G
2002-09-13 06:00:01;2002-09-14 06:00:00;2002-09-13;1.0;G
2002-09-14 06:00:01;2002-09-15 06:00:00;2002-09-14;0.7;G
2002-09-15 06:00:01;2002-09-16 06:00:00;2002-09-15;0.0;G
2002-09-16 06:00:01;2002-09-17 06:00:00;2002-09-16;0.0;G
2002-09-17 06:00:01;2002-09-18 06:00:00;2002-09-17;0.4;G
2002-09-18 06:00:01;2002-09-19 06:00:00;2002-09-18;0.0;G
2002-09-19 06:00:01;2002-09-20 06:00:00;2002-09-19;2.1;G
2002-09-20 06:00:01;2002-09-21 06:00:00;2002-09-20;0.2;G
2002-09-21 06:00:01;2002-09-22 06:00:00;2002-09-21;0.0;G
2002-09-22 06:00:01;2002-09-23 06:00:00;2002-09-22;0.5;G
2002-09-23 06:00:01;2002-09-24 06:00:00;2002-09-23;0.0;G
2002-09-24 06:00:01;2002-09-25 06:00:00;2002-09-24;0.0;G
2002-09-25 06:00:01;2002-09-26 06:00:00;2002-09-25;0.0;G
2002-09-26 06:00:01;2002-09-27 06:00:00;2002-09-26;0.0;G
2002-09-27 06:00:01;2002-09-28 06:00:00;2002-09-27;0.0;G
2002-09-28 06:00:01;2002-09-29 06:00:00;2002-09-28;0.0;G
2002-09-29 06:00:01;2002-09-30 06:00:00;2002-09-29;0.0;G
2002-09-30 06:00:01;2002-10-01 06:00:00;2002-09-30;0.0;G
2002-10-01 06:00:01;2002-10-02 06:00:00;2002-10-01;0.0;G
2002-10-02 06:00:01;2002-10-03 06:00:00;2002-10-02;0.0;G
2002-10-03 06:00:01;2002-10-04 06:00:00;2002-10-03;2.9;G
2002-10-04 06:00:01;2002-10-05 06:00:00;2002-10-04;10.9;G
2002-10-05 06:00:01;2002-10-06 06:00:00;2002-10-05;0.2;G
2002-10-06 06:00:01;2002-10-07 06:00:00;2002-10-06;0.6;G
2002-10-07 06:00:01;2002-10-08 06:00:00;2002-10-07;0.0;G
2002-10-08 06:00:01;2002-10-09 06:00:00;2002-10-08;0.0;G
