Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ödebyn;82650;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1954-05-01 00:00:00;1964-04-01 23:59:59;150.0;58.7833;12.1833

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1954-05-03 06:00:01;1954-05-04 06:00:00;1954-05-03;0.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1954-05-04 06:00:01;1954-05-05 06:00:00;1954-05-04;1.4;Y;;Tidsperiod (fr.o.m.) = 1954-05-01 00:00:00 (UTC)
1954-05-05 06:00:01;1954-05-06 06:00:00;1954-05-05;4.2;Y;;Tidsperiod (t.o.m.) = 1964-04-01 23:59:59 (UTC)
1954-05-06 06:00:01;1954-05-07 06:00:00;1954-05-06;0.0;Y;;Värdet är summerat över = 24 timmar
1954-05-07 06:00:01;1954-05-08 06:00:00;1954-05-07;0.0;Y;;
1954-05-08 06:00:01;1954-05-09 06:00:00;1954-05-08;0.0;Y;;Kvalitetskoderna:
1954-05-09 06:00:01;1954-05-10 06:00:00;1954-05-09;0.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1954-05-10 06:00:01;1954-05-11 06:00:00;1954-05-10;0.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1954-05-11 06:00:01;1954-05-12 06:00:00;1954-05-11;0.0;Y;;
1954-05-12 06:00:01;1954-05-13 06:00:00;1954-05-12;0.0;Y;;Nätinformation:
1954-05-13 06:00:01;1954-05-14 06:00:00;1954-05-13;0.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1954-05-14 06:00:01;1954-05-15 06:00:00;1954-05-14;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1954-05-15 06:00:01;1954-05-16 06:00:00;1954-05-15;0.0;Y;;
1954-05-16 06:00:01;1954-05-17 06:00:00;1954-05-16;10.2;Y;;Möjliga orsaker till saknade data:
1954-05-17 06:00:01;1954-05-18 06:00:00;1954-05-17;0.0;Y;;– stationen eller givaren har varit ur funktion.
1954-05-18 06:00:01;1954-05-19 06:00:00;1954-05-18;5.5;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1954-05-19 06:00:01;1954-05-20 06:00:00;1954-05-19;2.7;Y
1954-05-20 06:00:01;1954-05-21 06:00:00;1954-05-20;4.8;Y
1954-05-21 06:00:01;1954-05-22 06:00:00;1954-05-21;3.5;Y
1954-05-22 06:00:01;1954-05-23 06:00:00;1954-05-22;0.8;Y
1954-05-23 06:00:01;1954-05-24 06:00:00;1954-05-23;4.9;Y
1954-05-24 06:00:01;1954-05-25 06:00:00;1954-05-24;0.8;Y
1954-05-25 06:00:01;1954-05-26 06:00:00;1954-05-25;0.0;Y
1954-05-26 06:00:01;1954-05-27 06:00:00;1954-05-26;0.0;Y
1954-05-27 06:00:01;1954-05-28 06:00:00;1954-05-27;0.0;Y
1954-05-28 06:00:01;1954-05-29 06:00:00;1954-05-28;0.0;Y
1954-05-29 06:00:01;1954-05-30 06:00:00;1954-05-29;0.0;Y
1954-05-30 06:00:01;1954-05-31 06:00:00;1954-05-30;0.0;Y
1954-05-31 06:00:01;1954-06-01 06:00:00;1954-05-31;0.0;Y
1954-06-01 06:00:01;1954-06-02 06:00:00;1954-06-01;0.0;Y
1954-06-02 06:00:01;1954-06-03 06:00:00;1954-06-02;0.0;Y
1954-06-03 06:00:01;1954-06-04 06:00:00;1954-06-03;0.0;Y
1954-06-04 06:00:01;1954-06-05 06:00:00;1954-06-04;0.0;Y
1954-06-05 06:00:01;1954-06-06 06:00:00;1954-06-05;0.0;Y
1954-06-06 06:00:01;1954-06-07 06:00:00;1954-06-06;0.0;Y
1954-06-07 06:00:01;1954-06-08 06:00:00;1954-06-07;3.0;Y
1954-06-08 06:00:01;1954-06-09 06:00:00;1954-06-08;4.2;Y
1954-06-09 06:00:01;1954-06-10 06:00:00;1954-06-09;20.3;Y
1954-06-10 06:00:01;1954-06-11 06:00:00;1954-06-10;3.2;Y
1954-06-11 06:00:01;1954-06-12 06:00:00;1954-06-11;1.7;Y
1954-06-12 06:00:01;1954-06-13 06:00:00;1954-06-12;0.0;Y
1954-06-13 06:00:01;1954-06-14 06:00:00;1954-06-13;0.0;Y
1954-06-14 06:00:01;1954-06-15 06:00:00;1954-06-14;0.0;Y
1954-06-15 06:00:01;1954-06-16 06:00:00;1954-06-15;4.6;Y
1954-06-16 06:00:01;1954-06-17 06:00:00;1954-06-16;8.3;Y
1954-06-17 06:00:01;1954-06-18 06:00:00;1954-06-17;3.8;Y
