Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Skara-Stenum;83200;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1971-11-01 00:00:00;1973-05-01 06:00:00;130.0;58.3700;13.5200

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1971-11-01 06:00:01;1971-11-02 06:00:00;1971-11-01;0.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1971-11-02 06:00:01;1971-11-03 06:00:00;1971-11-02;0.0;Y;;Tidsperiod (fr.o.m.) = 1971-11-01 00:00:00 (UTC)
1971-11-03 06:00:01;1971-11-04 06:00:00;1971-11-03;0.0;Y;;Tidsperiod (t.o.m.) = 1973-05-01 06:00:00 (UTC)
1971-11-04 06:00:01;1971-11-05 06:00:00;1971-11-04;6.5;Y;;Värdet är summerat över = 24 timmar
1971-11-05 06:00:01;1971-11-06 06:00:00;1971-11-05;10.5;Y;;
1971-11-06 06:00:01;1971-11-07 06:00:00;1971-11-06;20.9;Y;;Kvalitetskoderna:
1971-11-07 06:00:01;1971-11-08 06:00:00;1971-11-07;7.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1971-11-08 06:00:01;1971-11-09 06:00:00;1971-11-08;0.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1971-11-09 06:00:01;1971-11-10 06:00:00;1971-11-09;0.0;Y;;
1971-11-10 06:00:01;1971-11-11 06:00:00;1971-11-10;1.0;Y;;Nätinformation:
1971-11-11 06:00:01;1971-11-12 06:00:00;1971-11-11;0.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1971-11-12 06:00:01;1971-11-13 06:00:00;1971-11-12;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1971-11-13 06:00:01;1971-11-14 06:00:00;1971-11-13;2.9;Y;;
1971-11-14 06:00:01;1971-11-15 06:00:00;1971-11-14;0.1;Y;;Möjliga orsaker till saknade data:
1971-11-15 06:00:01;1971-11-16 06:00:00;1971-11-15;0.2;Y;;– stationen eller givaren har varit ur funktion.
1971-11-16 06:00:01;1971-11-17 06:00:00;1971-11-16;1.1;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1971-11-17 06:00:01;1971-11-18 06:00:00;1971-11-17;0.3;Y
1971-11-18 06:00:01;1971-11-19 06:00:00;1971-11-18;0.0;Y
1971-11-19 06:00:01;1971-11-20 06:00:00;1971-11-19;0.0;Y
1971-11-20 06:00:01;1971-11-21 06:00:00;1971-11-20;30.8;Y
1971-11-21 06:00:01;1971-11-22 06:00:00;1971-11-21;0.2;Y
1971-11-22 06:00:01;1971-11-23 06:00:00;1971-11-22;0.6;Y
1971-11-23 06:00:01;1971-11-24 06:00:00;1971-11-23;0.5;Y
1971-11-24 06:00:01;1971-11-25 06:00:00;1971-11-24;2.0;Y
1971-11-25 06:00:01;1971-11-26 06:00:00;1971-11-25;0.0;Y
1971-11-26 06:00:01;1971-11-27 06:00:00;1971-11-26;1.4;Y
1971-11-27 06:00:01;1971-11-28 06:00:00;1971-11-27;2.9;Y
1971-11-28 06:00:01;1971-11-29 06:00:00;1971-11-28;0.6;Y
1971-11-29 06:00:01;1971-11-30 06:00:00;1971-11-29;1.5;Y
1971-11-30 06:00:01;1971-12-01 06:00:00;1971-11-30;0.6;Y
1971-12-01 06:00:01;1971-12-02 06:00:00;1971-12-01;0.2;Y
1971-12-02 06:00:01;1971-12-03 06:00:00;1971-12-02;0.0;Y
1971-12-03 06:00:01;1971-12-04 06:00:00;1971-12-03;0.4;Y
1971-12-04 06:00:01;1971-12-05 06:00:00;1971-12-04;1.3;Y
1971-12-05 06:00:01;1971-12-06 06:00:00;1971-12-05;0.0;Y
1971-12-06 06:00:01;1971-12-07 06:00:00;1971-12-06;0.4;Y
1971-12-07 06:00:01;1971-12-08 06:00:00;1971-12-07;3.0;Y
1971-12-08 06:00:01;1971-12-09 06:00:00;1971-12-08;0.0;Y
1971-12-09 06:00:01;1971-12-10 06:00:00;1971-12-09;11.5;Y
1971-12-10 06:00:01;1971-12-11 06:00:00;1971-12-10;0.0;Y
1971-12-11 06:00:01;1971-12-12 06:00:00;1971-12-11;0.0;Y
