Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Västerlösa;85270;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-05-01 00:00:00;2011-03-01 23:59:59;75.0;58.4447;15.3772

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2002-05-01 06:00:01;2002-05-02 06:00:00;2002-05-01;2.9;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-05-02 06:00:01;2002-05-03 06:00:00;2002-05-02;2.1;G;;Tidsperiod (fr.o.m.) = 2002-05-01 00:00:00 (UTC)
2002-05-03 06:00:01;2002-05-04 06:00:00;2002-05-03;3.2;G;;Tidsperiod (t.o.m.) = 2011-03-01 23:59:59 (UTC)
2002-05-04 06:00:01;2002-05-05 06:00:00;2002-05-04;17.3;G;;Värdet är summerat över = 24 timmar
2002-05-05 06:00:01;2002-05-06 06:00:00;2002-05-05;0.0;G;;
2002-05-06 06:00:01;2002-05-07 06:00:00;2002-05-06;0.0;G;;Kvalitetskoderna:
2002-05-07 06:00:01;2002-05-08 06:00:00;2002-05-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
2002-05-08 06:00:01;2002-05-09 06:00:00;2002-05-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-05-09 06:00:01;2002-05-10 06:00:00;2002-05-09;0.0;G;;
2002-05-10 06:00:01;2002-05-11 06:00:00;2002-05-10;0.0;G;;Nätinformation:
2002-05-11 06:00:01;2002-05-12 06:00:00;2002-05-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2002-05-12 06:00:01;2002-05-13 06:00:00;2002-05-12;2.6;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2002-05-13 06:00:01;2002-05-14 06:00:00;2002-05-13;0.0;G;;
2002-05-14 06:00:01;2002-05-15 06:00:00;2002-05-14;0.0;G;;Möjliga orsaker till saknade data:
2002-05-15 06:00:01;2002-05-16 06:00:00;2002-05-15;0.7;G;;– stationen eller givaren har varit ur funktion.
2002-05-16 06:00:01;2002-05-17 06:00:00;2002-05-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2002-05-17 06:00:01;2002-05-18 06:00:00;2002-05-17;2.0;G
2002-05-18 06:00:01;2002-05-19 06:00:00;2002-05-18;0.0;G
2002-05-19 06:00:01;2002-05-20 06:00:00;2002-05-19;0.0;G
2002-05-20 06:00:01;2002-05-21 06:00:00;2002-05-20;0.0;G
2002-05-21 06:00:01;2002-05-22 06:00:00;2002-05-21;0.0;G
2002-05-22 06:00:01;2002-05-23 06:00:00;2002-05-22;0.0;G
2002-05-23 06:00:01;2002-05-24 06:00:00;2002-05-23;0.0;G
2002-05-24 06:00:01;2002-05-25 06:00:00;2002-05-24;6.7;G
