Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Norrköping-Kungsängen;86350;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1939-12-01 00:00:00;1980-09-01 06:00:00;5.0;58.5842;16.2383

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1939-12-01 07:00:01;1939-12-02 07:00:00;1939-12-01;0.1;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1939-12-02 07:00:01;1939-12-03 07:00:00;1939-12-02;11.9;G;;Tidsperiod (fr.o.m.) = 1939-12-01 00:00:00 (UTC)
1939-12-03 07:00:01;1939-12-04 07:00:00;1939-12-03;0.7;G;;Tidsperiod (t.o.m.) = 1980-09-01 06:00:00 (UTC)
1939-12-04 07:00:01;1939-12-05 07:00:00;1939-12-04;3.2;G;;Värdet är summerat över = 24 timmar
1939-12-05 07:00:01;1939-12-06 07:00:00;1939-12-05;4.9;G;;
1939-12-06 07:00:01;1939-12-07 07:00:00;1939-12-06;6.9;G;;Kvalitetskoderna:
1939-12-07 07:00:01;1939-12-08 07:00:00;1939-12-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1939-12-08 07:00:01;1939-12-09 07:00:00;1939-12-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1939-12-09 07:00:01;1939-12-10 07:00:00;1939-12-09;0.0;G;;
1939-12-10 07:00:01;1939-12-11 07:00:00;1939-12-10;0.0;G;;Nätinformation:
