Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Kolmårdssanatoriet;86650;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1930-01-01 00:00:00;1948-02-29 23:59:59;90.0;58.6664;16.3301

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1930-01-01 07:00:01;1930-01-02 07:00:00;1930-01-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1930-01-02 07:00:01;1930-01-03 07:00:00;1930-01-02;1.0;G;;Tidsperiod (fr.o.m.) = 1930-01-01 00:00:00 (UTC)
1930-01-03 07:00:01;1930-01-04 07:00:00;1930-01-03;3.0;G;;Tidsperiod (t.o.m.) = 1948-02-29 23:59:59 (UTC)
1930-01-04 07:00:01;1930-01-05 07:00:00;1930-01-04;1.2;G;;Värdet är summerat över = 24 timmar
1930-01-05 07:00:01;1930-01-06 07:00:00;1930-01-05;0.0;G;;
1930-01-06 07:00:01;1930-01-07 07:00:00;1930-01-06;0.0;G;;Kvalitetskoderna:
1930-01-07 07:00:01;1930-01-08 07:00:00;1930-01-07;1.5;G;;Grön (G) = Kontrollerade och godkända värden.
1930-01-08 07:00:01;1930-01-09 07:00:00;1930-01-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1930-01-09 07:00:01;1930-01-10 07:00:00;1930-01-09;4.0;G;;
1930-01-10 07:00:01;1930-01-11 07:00:00;1930-01-10;0.0;G;;Nätinformation:
1930-01-11 07:00:01;1930-01-12 07:00:00;1930-01-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1930-01-12 07:00:01;1930-01-13 07:00:00;1930-01-12;1.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1930-01-13 07:00:01;1930-01-14 07:00:00;1930-01-13;0.0;G;;
1930-01-14 07:00:01;1930-01-15 07:00:00;1930-01-14;1.2;G;;Möjliga orsaker till saknade data:
1930-01-15 07:00:01;1930-01-16 07:00:00;1930-01-15;2.6;G;;– stationen eller givaren har varit ur funktion.
1930-01-16 07:00:01;1930-01-17 07:00:00;1930-01-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1930-01-17 07:00:01;1930-01-18 07:00:00;1930-01-17;0.0;G
1930-01-18 07:00:01;1930-01-19 07:00:00;1930-01-18;0.0;G
1930-01-19 07:00:01;1930-01-20 07:00:00;1930-01-19;0.0;G
1930-01-20 07:00:01;1930-01-21 07:00:00;1930-01-20;0.0;G
1930-01-21 07:00:01;1930-01-22 07:00:00;1930-01-21;0.0;G
1930-01-22 07:00:01;1930-01-23 07:00:00;1930-01-22;0.0;G
1930-01-23 07:00:01;1930-01-24 07:00:00;1930-01-23;0.0;G
1930-01-24 07:00:01;1930-01-25 07:00:00;1930-01-24;0.0;G
1930-01-25 07:00:01;1930-01-26 07:00:00;1930-01-25;0.0;G
1930-01-26 07:00:01;1930-01-27 07:00:00;1930-01-26;0.0;G
