Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ökna;87520;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1957-12-01 00:00:00;1962-03-31 23:59:59;35.0;59.0833;16.3167

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1957-12-01 06:00:01;1957-12-02 06:00:00;1957-12-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1957-12-02 06:00:01;1957-12-03 06:00:00;1957-12-02;0.0;G;;Tidsperiod (fr.o.m.) = 1957-12-01 00:00:00 (UTC)
1957-12-03 06:00:01;1957-12-04 06:00:00;1957-12-03;0.0;G;;Tidsperiod (t.o.m.) = 1962-03-31 23:59:59 (UTC)
1957-12-04 06:00:01;1957-12-05 06:00:00;1957-12-04;0.0;G;;Värdet är summerat över = 24 timmar
1957-12-05 06:00:01;1957-12-06 06:00:00;1957-12-05;0.0;G;;
1957-12-06 06:00:01;1957-12-07 06:00:00;1957-12-06;0.9;G;;Kvalitetskoderna:
1957-12-07 06:00:01;1957-12-08 06:00:00;1957-12-07;13.2;G;;Grön (G) = Kontrollerade och godkända värden.
1957-12-08 06:00:01;1957-12-09 06:00:00;1957-12-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1957-12-09 06:00:01;1957-12-10 06:00:00;1957-12-09;0.0;G;;
1957-12-10 06:00:01;1957-12-11 06:00:00;1957-12-10;0.0;G;;Nätinformation:
1957-12-11 06:00:01;1957-12-12 06:00:00;1957-12-11;1.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1957-12-12 06:00:01;1957-12-13 06:00:00;1957-12-12;0.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1957-12-13 06:00:01;1957-12-14 06:00:00;1957-12-13;0.0;G;;
1957-12-14 06:00:01;1957-12-15 06:00:00;1957-12-14;0.0;G;;Möjliga orsaker till saknade data:
1957-12-15 06:00:01;1957-12-16 06:00:00;1957-12-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1957-12-16 06:00:01;1957-12-17 06:00:00;1957-12-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1957-12-17 06:00:01;1957-12-18 06:00:00;1957-12-17;0.0;G
1957-12-18 06:00:01;1957-12-19 06:00:00;1957-12-18;0.0;G
1957-12-19 06:00:01;1957-12-20 06:00:00;1957-12-19;0.0;G
1957-12-20 06:00:01;1957-12-21 06:00:00;1957-12-20;0.0;G
1957-12-21 06:00:01;1957-12-22 06:00:00;1957-12-21;0.0;G
1957-12-22 06:00:01;1957-12-23 06:00:00;1957-12-22;0.0;G
1957-12-23 06:00:01;1957-12-24 06:00:00;1957-12-23;0.0;G
1957-12-24 06:00:01;1957-12-25 06:00:00;1957-12-24;5.0;G
1957-12-25 06:00:01;1957-12-26 06:00:00;1957-12-25;0.0;G
1957-12-26 06:00:01;1957-12-27 06:00:00;1957-12-26;0.0;G
1957-12-27 06:00:01;1957-12-28 06:00:00;1957-12-27;0.0;G
1957-12-28 06:00:01;1957-12-29 06:00:00;1957-12-28;0.0;G
1957-12-29 06:00:01;1957-12-30 06:00:00;1957-12-29;2.8;G
1957-12-30 06:00:01;1957-12-31 06:00:00;1957-12-30;0.8;G
1957-12-31 06:00:01;1958-01-01 06:00:00;1957-12-31;8.5;G
1958-01-01 06:00:01;1958-01-02 06:00:00;1958-01-01;0.0;G
1958-01-02 06:00:01;1958-01-03 06:00:00;1958-01-02;0.0;G
1958-01-03 06:00:01;1958-01-04 06:00:00;1958-01-03;0.0;G
1958-01-04 06:00:01;1958-01-05 06:00:00;1958-01-04;0.0;G
1958-01-05 06:00:01;1958-01-06 06:00:00;1958-01-05;0.0;G
1958-01-06 06:00:01;1958-01-07 06:00:00;1958-01-06;0.9;G
1958-01-07 06:00:01;1958-01-08 06:00:00;1958-01-07;0.0;G
1958-01-08 06:00:01;1958-01-09 06:00:00;1958-01-08;0.0;G
1958-01-09 06:00:01;1958-01-10 06:00:00;1958-01-09;2.5;G
1958-01-10 06:00:01;1958-01-11 06:00:00;1958-01-10;1.4;G
1958-01-11 06:00:01;1958-01-12 06:00:00;1958-01-11;0.0;G
1958-01-12 06:00:01;1958-01-13 06:00:00;1958-01-12;0.0;G
1958-01-13 06:00:01;1958-01-14 06:00:00;1958-01-13;2.1;G
1958-01-14 06:00:01;1958-01-15 06:00:00;1958-01-14;0.0;G
1958-01-15 06:00:01;1958-01-16 06:00:00;1958-01-15;0.0;G
1958-01-16 06:00:01;1958-01-17 06:00:00;1958-01-16;0.0;G
1958-01-17 06:00:01;1958-01-18 06:00:00;1958-01-17;0.0;G
1958-01-18 06:00:01;1958-01-19 06:00:00;1958-01-18;3.7;G
1958-01-19 06:00:01;1958-01-20 06:00:00;1958-01-19;0.0;G
1958-01-20 06:00:01;1958-01-21 06:00:00;1958-01-20;0.0;G
1958-01-21 06:00:01;1958-01-22 06:00:00;1958-01-21;0.0;G
1958-01-22 06:00:01;1958-01-23 06:00:00;1958-01-22;0.0;G
1958-01-23 06:00:01;1958-01-24 06:00:00;1958-01-23;2.5;G
1958-01-24 06:00:01;1958-01-25 06:00:00;1958-01-24;0.0;G
1958-01-25 06:00:01;1958-01-26 06:00:00;1958-01-25;0.0;G
1958-01-26 06:00:01;1958-01-27 06:00:00;1958-01-26;0.0;G
1958-01-27 06:00:01;1958-01-28 06:00:00;1958-01-27;0.0;G
1958-01-28 06:00:01;1958-01-29 06:00:00;1958-01-28;0.0;G
1958-01-29 06:00:01;1958-01-30 06:00:00;1958-01-29;0.0;G
1958-01-30 06:00:01;1958-01-31 06:00:00;1958-01-30;0.0;G
1958-01-31 06:00:01;1958-02-01 06:00:00;1958-01-31;0.0;G
1958-02-01 06:00:01;1958-02-02 06:00:00;1958-02-01;0.0;G
1958-02-02 06:00:01;1958-02-03 06:00:00;1958-02-02;0.0;G
1958-02-03 06:00:01;1958-02-04 06:00:00;1958-02-03;0.0;G
1958-02-04 06:00:01;1958-02-05 06:00:00;1958-02-04;4.0;G
1958-02-05 06:00:01;1958-02-06 06:00:00;1958-02-05;0.0;G
1958-02-06 06:00:01;1958-02-07 06:00:00;1958-02-06;0.0;G
1958-02-07 06:00:01;1958-02-08 06:00:00;1958-02-07;0.0;G
1958-02-08 06:00:01;1958-02-09 06:00:00;1958-02-08;3.3;G
1958-02-09 06:00:01;1958-02-10 06:00:00;1958-02-09;0.0;G
1958-02-10 06:00:01;1958-02-11 06:00:00;1958-02-10;10.8;G
1958-02-11 06:00:01;1958-02-12 06:00:00;1958-02-11;0.0;G
1958-02-12 06:00:01;1958-02-13 06:00:00;1958-02-12;0.0;G
1958-02-13 06:00:01;1958-02-14 06:00:00;1958-02-13;0.0;G
1958-02-14 06:00:01;1958-02-15 06:00:00;1958-02-14;0.0;G
1958-02-15 06:00:01;1958-02-16 06:00:00;1958-02-15;0.0;G
1958-02-16 06:00:01;1958-02-17 06:00:00;1958-02-16;0.0;G
1958-02-17 06:00:01;1958-02-18 06:00:00;1958-02-17;0.0;G
1958-02-18 06:00:01;1958-02-19 06:00:00;1958-02-18;0.0;G
1958-02-19 06:00:01;1958-02-20 06:00:00;1958-02-19;0.0;G
1958-02-20 06:00:01;1958-02-21 06:00:00;1958-02-20;0.0;G
