Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Utö;88570;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1985-10-01 00:00:00;1994-09-30 23:59:59;40.0;58.9502;18.2669

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1985-10-01 06:00:01;1985-10-02 06:00:00;1985-10-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1985-10-02 06:00:01;1985-10-03 06:00:00;1985-10-02;0.0;G;;Tidsperiod (fr.o.m.) = 1985-10-01 00:00:00 (UTC)
1985-10-03 06:00:01;1985-10-04 06:00:00;1985-10-03;0.0;G;;Tidsperiod (t.o.m.) = 1994-09-30 23:59:59 (UTC)
1985-10-04 06:00:01;1985-10-05 06:00:00;1985-10-04;0.2;G;;Värdet är summerat över = 24 timmar
1985-10-05 06:00:01;1985-10-06 06:00:00;1985-10-05;0.0;G;;
1985-10-06 06:00:01;1985-10-07 06:00:00;1985-10-06;0.0;G;;Kvalitetskoderna:
1985-10-07 06:00:01;1985-10-08 06:00:00;1985-10-07;0.5;G;;Grön (G) = Kontrollerade och godkända värden.
1985-10-08 06:00:01;1985-10-09 06:00:00;1985-10-08;0.5;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1985-10-09 06:00:01;1985-10-10 06:00:00;1985-10-09;0.0;G;;
1985-10-10 06:00:01;1985-10-11 06:00:00;1985-10-10;3.5;G;;Nätinformation:
1985-10-11 06:00:01;1985-10-12 06:00:00;1985-10-11;4.7;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1985-10-12 06:00:01;1985-10-13 06:00:00;1985-10-12;0.2;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1985-10-13 06:00:01;1985-10-14 06:00:00;1985-10-13;1.5;G;;
1985-10-14 06:00:01;1985-10-15 06:00:00;1985-10-14;0.0;G;;Möjliga orsaker till saknade data:
1985-10-15 06:00:01;1985-10-16 06:00:00;1985-10-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1985-10-16 06:00:01;1985-10-17 06:00:00;1985-10-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1985-10-17 06:00:01;1985-10-18 06:00:00;1985-10-17;0.3;G
1985-10-18 06:00:01;1985-10-19 06:00:00;1985-10-18;1.0;G
1985-10-19 06:00:01;1985-10-20 06:00:00;1985-10-19;0.0;G
1985-10-20 06:00:01;1985-10-21 06:00:00;1985-10-20;0.0;G
1985-10-21 06:00:01;1985-10-22 06:00:00;1985-10-21;0.0;G
1985-10-22 06:00:01;1985-10-23 06:00:00;1985-10-22;0.0;G
1985-10-23 06:00:01;1985-10-24 06:00:00;1985-10-23;0.0;G
1985-10-24 06:00:01;1985-10-25 06:00:00;1985-10-24;0.0;G
1985-10-25 06:00:01;1985-10-26 06:00:00;1985-10-25;0.0;G
1985-10-26 06:00:01;1985-10-27 06:00:00;1985-10-26;0.0;G
1985-10-27 06:00:01;1985-10-28 06:00:00;1985-10-27;0.0;G
1985-10-28 06:00:01;1985-10-29 06:00:00;1985-10-28;0.3;G
