Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Hångstad;91520;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-05-01 00:00:00;1986-03-01 06:00:00;130.0;59.8633;11.9746

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1969-05-01 06:00:01;1969-05-02 06:00:00;1969-05-01;0.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-05-02 06:00:01;1969-05-03 06:00:00;1969-05-02;0.0;Y;;Tidsperiod (fr.o.m.) = 1969-05-01 00:00:00 (UTC)
1969-05-03 06:00:01;1969-05-04 06:00:00;1969-05-03;0.0;Y;;Tidsperiod (t.o.m.) = 1986-03-01 06:00:00 (UTC)
1969-05-04 06:00:01;1969-05-05 06:00:00;1969-05-04;0.0;Y;;Värdet är summerat över = 24 timmar
1969-05-05 06:00:01;1969-05-06 06:00:00;1969-05-05;0.0;Y;;
1969-05-06 06:00:01;1969-05-07 06:00:00;1969-05-06;0.0;Y;;Kvalitetskoderna:
1969-05-07 06:00:01;1969-05-08 06:00:00;1969-05-07;0.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-05-08 06:00:01;1969-05-09 06:00:00;1969-05-08;6.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-05-09 06:00:01;1969-05-10 06:00:00;1969-05-09;0.0;Y;;
1969-05-10 06:00:01;1969-05-11 06:00:00;1969-05-10;0.0;Y;;Nätinformation:
1969-05-11 06:00:01;1969-05-12 06:00:00;1969-05-11;0.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1969-05-12 06:00:01;1969-05-13 06:00:00;1969-05-12;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1969-05-13 06:00:01;1969-05-14 06:00:00;1969-05-13;10.0;Y;;
1969-05-14 06:00:01;1969-05-15 06:00:00;1969-05-14;0.0;Y;;Möjliga orsaker till saknade data:
1969-05-15 06:00:01;1969-05-16 06:00:00;1969-05-15;0.0;Y;;– stationen eller givaren har varit ur funktion.
1969-05-16 06:00:01;1969-05-17 06:00:00;1969-05-16;14.5;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1969-05-17 06:00:01;1969-05-18 06:00:00;1969-05-17;10.0;Y
1969-05-18 06:00:01;1969-05-19 06:00:00;1969-05-18;0.0;Y
1969-05-19 06:00:01;1969-05-20 06:00:00;1969-05-19;0.0;Y
1969-05-20 06:00:01;1969-05-21 06:00:00;1969-05-20;1.2;Y
1969-05-21 06:00:01;1969-05-22 06:00:00;1969-05-21;0.0;Y
1969-05-22 06:00:01;1969-05-23 06:00:00;1969-05-22;2.3;Y
1969-05-23 06:00:01;1969-05-24 06:00:00;1969-05-23;0.0;Y
1969-05-24 06:00:01;1969-05-25 06:00:00;1969-05-24;0.0;Y
1969-05-25 06:00:01;1969-05-26 06:00:00;1969-05-25;0.0;Y
1969-05-26 06:00:01;1969-05-27 06:00:00;1969-05-26;0.0;Y
1969-05-27 06:00:01;1969-05-28 06:00:00;1969-05-27;0.0;Y
