Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Högsäter;91660;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1912-03-01 00:00:00;1969-05-01 23:59:59;135.0;59.8800;11.9700

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1912-03-26 07:00:01;1912-03-27 07:00:00;1912-03-26;2.6;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1912-03-27 07:00:01;1912-03-28 07:00:00;1912-03-27;2.1;G;;Tidsperiod (fr.o.m.) = 1912-03-01 00:00:00 (UTC)
1912-03-28 07:00:01;1912-03-29 07:00:00;1912-03-28;0.0;G;;Tidsperiod (t.o.m.) = 1969-05-01 23:59:59 (UTC)
1912-03-29 07:00:01;1912-03-30 07:00:00;1912-03-29;0.0;G;;Värdet är summerat över = 24 timmar
1912-03-30 07:00:01;1912-03-31 07:00:00;1912-03-30;0.0;G;;
1912-03-31 07:00:01;1912-04-01 07:00:00;1912-03-31;8.1;G;;Kvalitetskoderna:
1912-04-01 07:00:01;1912-04-02 07:00:00;1912-04-01;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1912-04-02 07:00:01;1912-04-03 07:00:00;1912-04-02;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1912-04-03 07:00:01;1912-04-04 07:00:00;1912-04-03;0.0;G;;
1912-04-04 07:00:01;1912-04-05 07:00:00;1912-04-04;0.0;G;;Nätinformation:
1912-04-05 07:00:01;1912-04-06 07:00:00;1912-04-05;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1912-04-06 07:00:01;1912-04-07 07:00:00;1912-04-06;0.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1912-04-07 07:00:01;1912-04-08 07:00:00;1912-04-07;0.0;G;;
1912-04-08 07:00:01;1912-04-09 07:00:00;1912-04-08;6.5;G;;Möjliga orsaker till saknade data:
1912-04-09 07:00:01;1912-04-10 07:00:00;1912-04-09;0.0;G;;– stationen eller givaren har varit ur funktion.
1912-04-10 07:00:01;1912-04-11 07:00:00;1912-04-10;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1912-04-11 07:00:01;1912-04-12 07:00:00;1912-04-11;0.0;G
1912-04-12 07:00:01;1912-04-13 07:00:00;1912-04-12;0.0;G
1912-04-13 07:00:01;1912-04-14 07:00:00;1912-04-13;0.0;G
1912-04-14 07:00:01;1912-04-15 07:00:00;1912-04-14;0.0;G
1912-04-15 07:00:01;1912-04-16 07:00:00;1912-04-15;0.0;G
1912-04-16 07:00:01;1912-04-17 07:00:00;1912-04-16;0.0;G
1912-04-17 07:00:01;1912-04-18 07:00:00;1912-04-17;0.0;G
1912-04-18 07:00:01;1912-04-19 07:00:00;1912-04-18;0.0;G
1912-04-19 07:00:01;1912-04-20 07:00:00;1912-04-19;0.0;G
1912-04-20 07:00:01;1912-04-21 07:00:00;1912-04-20;0.0;G
1912-04-21 07:00:01;1912-04-22 07:00:00;1912-04-21;0.0;G
1912-04-22 07:00:01;1912-04-23 07:00:00;1912-04-22;0.0;G
1912-04-23 07:00:01;1912-04-24 07:00:00;1912-04-23;0.0;G
1912-04-24 07:00:01;1912-04-25 07:00:00;1912-04-24;0.0;G
1912-04-25 07:00:01;1912-04-26 07:00:00;1912-04-25;0.0;G
1912-04-26 07:00:01;1912-04-27 07:00:00;1912-04-26;0.0;G
1912-04-27 07:00:01;1912-04-28 07:00:00;1912-04-27;0.0;G
1912-04-28 07:00:01;1912-04-29 07:00:00;1912-04-28;0.1;G
1912-04-29 07:00:01;1912-04-30 07:00:00;1912-04-29;0.0;G
1912-04-30 07:00:01;1912-05-01 07:00:00;1912-04-30;0.0;G
1912-05-01 07:00:01;1912-05-02 07:00:00;1912-05-01;0.0;G
1912-05-02 07:00:01;1912-05-03 07:00:00;1912-05-02;14.6;G
1912-05-03 07:00:01;1912-05-04 07:00:00;1912-05-03;0.1;G
1912-05-04 07:00:01;1912-05-05 07:00:00;1912-05-04;0.0;G
1912-05-05 07:00:01;1912-05-06 07:00:00;1912-05-05;0.0;G
1912-05-06 07:00:01;1912-05-07 07:00:00;1912-05-06;3.8;G
1912-05-07 07:00:01;1912-05-08 07:00:00;1912-05-07;0.0;G
1912-05-08 07:00:01;1912-05-09 07:00:00;1912-05-08;0.0;G
1912-05-09 07:00:01;1912-05-10 07:00:00;1912-05-09;2.1;G
1912-05-10 07:00:01;1912-05-11 07:00:00;1912-05-10;0.0;G
1912-05-11 07:00:01;1912-05-12 07:00:00;1912-05-11;1.8;G
1912-05-12 07:00:01;1912-05-13 07:00:00;1912-05-12;5.4;G
1912-05-13 07:00:01;1912-05-14 07:00:00;1912-05-13;0.0;G
1912-05-14 07:00:01;1912-05-15 07:00:00;1912-05-14;0.0;G
1912-05-15 07:00:01;1912-05-16 07:00:00;1912-05-15;0.0;G
1912-05-16 07:00:01;1912-05-17 07:00:00;1912-05-16;0.0;G
1912-05-17 07:00:01;1912-05-18 07:00:00;1912-05-17;0.0;G
1912-05-18 07:00:01;1912-05-19 07:00:00;1912-05-18;0.0;G
1912-05-19 07:00:01;1912-05-20 07:00:00;1912-05-19;0.0;G
1912-05-20 07:00:01;1912-05-21 07:00:00;1912-05-20;3.7;G
1912-05-21 07:00:01;1912-05-22 07:00:00;1912-05-21;2.2;G
1912-05-22 07:00:01;1912-05-23 07:00:00;1912-05-22;0.6;G
1912-05-23 07:00:01;1912-05-24 07:00:00;1912-05-23;0.0;G
1912-05-24 07:00:01;1912-05-25 07:00:00;1912-05-24;3.9;G
1912-05-25 07:00:01;1912-05-26 07:00:00;1912-05-25;7.1;G
1912-05-26 07:00:01;1912-05-27 07:00:00;1912-05-26;0.0;G
1912-05-27 07:00:01;1912-05-28 07:00:00;1912-05-27;0.0;G
1912-05-28 07:00:01;1912-05-29 07:00:00;1912-05-28;1.1;G
1912-05-29 07:00:01;1912-05-30 07:00:00;1912-05-29;0.0;G
1912-05-30 07:00:01;1912-05-31 07:00:00;1912-05-30;0.0;G
1912-05-31 07:00:01;1912-06-01 07:00:00;1912-05-31;0.0;G
1912-06-01 07:00:01;1912-06-02 07:00:00;1912-06-01;0.0;G
1912-06-02 07:00:01;1912-06-03 07:00:00;1912-06-02;0.0;G
1912-06-03 07:00:01;1912-06-04 07:00:00;1912-06-03;0.0;G
1912-06-04 07:00:01;1912-06-05 07:00:00;1912-06-04;9.5;G
1912-06-05 07:00:01;1912-06-06 07:00:00;1912-06-05;4.5;G
1912-06-06 07:00:01;1912-06-07 07:00:00;1912-06-06;5.4;G
1912-06-07 07:00:01;1912-06-08 07:00:00;1912-06-07;0.2;G
1912-06-08 07:00:01;1912-06-09 07:00:00;1912-06-08;16.9;G
1912-06-09 07:00:01;1912-06-10 07:00:00;1912-06-09;0.0;G
1912-06-10 07:00:01;1912-06-11 07:00:00;1912-06-10;0.0;G
1912-06-11 07:00:01;1912-06-12 07:00:00;1912-06-11;0.0;G
1912-06-12 07:00:01;1912-06-13 07:00:00;1912-06-12;0.0;G
1912-06-13 07:00:01;1912-06-14 07:00:00;1912-06-13;0.0;G
1912-06-14 07:00:01;1912-06-15 07:00:00;1912-06-14;14.7;G
1912-06-15 07:00:01;1912-06-16 07:00:00;1912-06-15;2.3;G
1912-06-16 07:00:01;1912-06-17 07:00:00;1912-06-16;0.0;G
1912-06-17 07:00:01;1912-06-18 07:00:00;1912-06-17;2.0;G
1912-06-18 07:00:01;1912-06-19 07:00:00;1912-06-18;0.0;G
1912-06-19 07:00:01;1912-06-20 07:00:00;1912-06-19;0.0;G
1912-06-20 07:00:01;1912-06-21 07:00:00;1912-06-20;13.0;G
1912-06-21 07:00:01;1912-06-22 07:00:00;1912-06-21;0.0;G
1912-06-22 07:00:01;1912-06-23 07:00:00;1912-06-22;0.0;G
1912-06-23 07:00:01;1912-06-24 07:00:00;1912-06-23;0.0;G
1912-06-24 07:00:01;1912-06-25 07:00:00;1912-06-24;1.8;G
