Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Årjäng;92380;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-06-01 00:00:00;1971-12-01 23:59:59;130.0;59.3833;12.1666
2016-12-01 00:00:00;2025-01-31 23:59:59;145.475;59.3832;12.1391

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1969-06-01 06:00:01;1969-06-02 06:00:00;1969-06-01;4.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-06-02 06:00:01;1969-06-03 06:00:00;1969-06-02;13.5;Y;;Tidsperiod (fr.o.m.) = 1969-06-01 00:00:00 (UTC)
1969-06-03 06:00:01;1969-06-04 06:00:00;1969-06-03;1.0;Y;;Tidsperiod (t.o.m.) = 2024-12-01 06:00:00 (UTC)
1969-06-04 06:00:01;1969-06-05 06:00:00;1969-06-04;0.2;Y;;Värdet är summerat över = 24 timmar
1969-06-05 06:00:01;1969-06-06 06:00:00;1969-06-05;0.0;Y;;
1969-06-06 06:00:01;1969-06-07 06:00:00;1969-06-06;0.0;Y;;Kvalitetskoderna:
1969-06-07 06:00:01;1969-06-08 06:00:00;1969-06-07;0.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-06-08 06:00:01;1969-06-09 06:00:00;1969-06-08;0.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-06-09 06:00:01;1969-06-10 06:00:00;1969-06-09;0.0;Y;;
1969-06-10 06:00:01;1969-06-11 06:00:00;1969-06-10;0.9;Y;;Nätinformation:
1969-06-11 06:00:01;1969-06-12 06:00:00;1969-06-11;0.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1969-06-12 06:00:01;1969-06-13 06:00:00;1969-06-12;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1969-06-13 06:00:01;1969-06-14 06:00:00;1969-06-13;0.0;Y;;
1969-06-14 06:00:01;1969-06-15 06:00:00;1969-06-14;0.0;Y;;Möjliga orsaker till saknade data:
1969-06-15 06:00:01;1969-06-16 06:00:00;1969-06-15;0.0;Y;;– stationen eller givaren har varit ur funktion.
1969-06-16 06:00:01;1969-06-17 06:00:00;1969-06-16;0.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1969-06-17 06:00:01;1969-06-18 06:00:00;1969-06-17;0.0;Y
1969-06-18 06:00:01;1969-06-19 06:00:00;1969-06-18;0.0;Y
1969-06-19 06:00:01;1969-06-20 06:00:00;1969-06-19;0.0;Y
1969-06-20 06:00:01;1969-06-21 06:00:00;1969-06-20;0.0;Y
1969-06-21 06:00:01;1969-06-22 06:00:00;1969-06-21;0.0;Y
1969-06-22 06:00:01;1969-06-23 06:00:00;1969-06-22;0.0;Y
1969-06-23 06:00:01;1969-06-24 06:00:00;1969-06-23;0.0;Y
1969-06-24 06:00:01;1969-06-25 06:00:00;1969-06-24;0.0;Y
1969-06-25 06:00:01;1969-06-26 06:00:00;1969-06-25;0.0;Y
1969-06-26 06:00:01;1969-06-27 06:00:00;1969-06-26;0.0;Y
1969-06-27 06:00:01;1969-06-28 06:00:00;1969-06-27;0.0;Y
1969-06-28 06:00:01;1969-06-29 06:00:00;1969-06-28;0.0;Y
1969-06-29 06:00:01;1969-06-30 06:00:00;1969-06-29;0.0;Y
