Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Suttertjärn;93340;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1949-08-01 00:00:00;1969-11-01 23:59:59;153.0;59.5833;13.9333
1981-09-01 00:00:00;1987-09-30 23:59:59;170.0;59.5956;13.9525

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1949-08-01 06:00:01;1949-08-02 06:00:00;1949-08-01;7.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1949-08-02 06:00:01;1949-08-03 06:00:00;1949-08-02;18.0;Y;;Tidsperiod (fr.o.m.) = 1949-08-01 00:00:00 (UTC)
1949-08-03 06:00:01;1949-08-04 06:00:00;1949-08-03;25.0;Y;;Tidsperiod (t.o.m.) = 1987-09-30 23:59:59 (UTC)
1949-08-04 06:00:01;1949-08-05 06:00:00;1949-08-04;3.0;Y;;Värdet är summerat över = 24 timmar
1949-08-05 06:00:01;1949-08-06 06:00:00;1949-08-05;0.0;Y;;
1949-08-06 06:00:01;1949-08-07 06:00:00;1949-08-06;0.0;Y;;Kvalitetskoderna:
1949-08-07 06:00:01;1949-08-08 06:00:00;1949-08-07;4.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1949-08-08 06:00:01;1949-08-09 06:00:00;1949-08-08;7.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1949-08-09 06:00:01;1949-08-10 06:00:00;1949-08-09;0.0;Y;;
1949-08-10 06:00:01;1949-08-11 06:00:00;1949-08-10;0.0;Y;;Nätinformation:
1949-08-11 06:00:01;1949-08-12 06:00:00;1949-08-11;0.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1949-08-12 06:00:01;1949-08-13 06:00:00;1949-08-12;0.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1949-08-13 06:00:01;1949-08-14 06:00:00;1949-08-13;0.0;Y;;
1949-08-14 06:00:01;1949-08-15 06:00:00;1949-08-14;0.0;Y;;Möjliga orsaker till saknade data:
1949-08-15 06:00:01;1949-08-16 06:00:00;1949-08-15;15.0;Y;;– stationen eller givaren har varit ur funktion.
1949-08-16 06:00:01;1949-08-17 06:00:00;1949-08-16;5.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1949-08-17 06:00:01;1949-08-18 06:00:00;1949-08-17;0.0;Y
1949-08-18 06:00:01;1949-08-19 06:00:00;1949-08-18;0.0;Y
1949-08-19 06:00:01;1949-08-20 06:00:00;1949-08-19;0.0;Y
1949-08-20 06:00:01;1949-08-21 06:00:00;1949-08-20;0.0;Y
1949-08-21 06:00:01;1949-08-22 06:00:00;1949-08-21;0.0;Y
1949-08-22 06:00:01;1949-08-23 06:00:00;1949-08-22;0.0;Y
1949-08-23 06:00:01;1949-08-24 06:00:00;1949-08-23;0.0;Y
1949-08-24 06:00:01;1949-08-25 06:00:00;1949-08-24;0.0;Y
1949-08-25 06:00:01;1949-08-26 06:00:00;1949-08-25;0.0;Y
1949-08-26 06:00:01;1949-08-27 06:00:00;1949-08-26;0.0;Y
1949-08-27 06:00:01;1949-08-28 06:00:00;1949-08-27;0.0;Y
1949-08-28 06:00:01;1949-08-29 06:00:00;1949-08-28;0.0;Y
1949-08-29 06:00:01;1949-08-30 06:00:00;1949-08-29;1.0;Y
1949-08-30 06:00:01;1949-08-31 06:00:00;1949-08-30;0.0;Y
1949-08-31 06:00:01;1949-09-01 06:00:00;1949-08-31;0.0;Y
1949-09-01 06:00:01;1949-09-02 06:00:00;1949-09-01;0.0;Y
1949-09-02 06:00:01;1949-09-03 06:00:00;1949-09-02;0.0;Y
