Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Asphyttan;94370;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1982-08-01 00:00:00;1996-02-01 06:00:00;130.0;59.6112;14.1859

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1982-08-01 06:00:01;1982-08-02 06:00:00;1982-08-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1982-08-02 06:00:01;1982-08-03 06:00:00;1982-08-02;0.0;G;;Tidsperiod (fr.o.m.) = 1982-08-01 00:00:00 (UTC)
1982-08-03 06:00:01;1982-08-04 06:00:00;1982-08-03;0.0;G;;Tidsperiod (t.o.m.) = 1996-02-01 06:00:00 (UTC)
1982-08-04 06:00:01;1982-08-05 06:00:00;1982-08-04;0.0;G;;Värdet är summerat över = 24 timmar
1982-08-05 06:00:01;1982-08-06 06:00:00;1982-08-05;0.0;G;;
1982-08-06 06:00:01;1982-08-07 06:00:00;1982-08-06;0.0;G;;Kvalitetskoderna:
1982-08-07 06:00:01;1982-08-08 06:00:00;1982-08-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1982-08-08 06:00:01;1982-08-09 06:00:00;1982-08-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1982-08-09 06:00:01;1982-08-10 06:00:00;1982-08-09;1.8;G;;
1982-08-10 06:00:01;1982-08-11 06:00:00;1982-08-10;0.0;G;;Nätinformation:
1982-08-11 06:00:01;1982-08-12 06:00:00;1982-08-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1982-08-12 06:00:01;1982-08-13 06:00:00;1982-08-12;0.9;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1982-08-13 06:00:01;1982-08-14 06:00:00;1982-08-13;5.1;G;;
1982-08-14 06:00:01;1982-08-15 06:00:00;1982-08-14;8.1;G;;Möjliga orsaker till saknade data:
1982-08-15 06:00:01;1982-08-16 06:00:00;1982-08-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1982-08-16 06:00:01;1982-08-17 06:00:00;1982-08-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1982-08-17 06:00:01;1982-08-18 06:00:00;1982-08-17;8.5;G
1982-08-18 06:00:01;1982-08-19 06:00:00;1982-08-18;13.6;G
1982-08-19 06:00:01;1982-08-20 06:00:00;1982-08-19;6.9;G
1982-08-20 06:00:01;1982-08-21 06:00:00;1982-08-20;14.5;G
1982-08-21 06:00:01;1982-08-22 06:00:00;1982-08-21;1.4;G
1982-08-22 06:00:01;1982-08-23 06:00:00;1982-08-22;0.4;G
1982-08-23 06:00:01;1982-08-24 06:00:00;1982-08-23;16.3;G
1982-08-24 06:00:01;1982-08-25 06:00:00;1982-08-24;9.2;G
1982-08-25 06:00:01;1982-08-26 06:00:00;1982-08-25;3.8;G
1982-08-26 06:00:01;1982-08-27 06:00:00;1982-08-26;1.8;G
1982-08-27 06:00:01;1982-08-28 06:00:00;1982-08-27;1.1;G
1982-08-28 06:00:01;1982-08-29 06:00:00;1982-08-28;0.0;G
1982-08-29 06:00:01;1982-08-30 06:00:00;1982-08-29;0.0;G
1982-08-30 06:00:01;1982-08-31 06:00:00;1982-08-30;0.0;G
1982-08-31 06:00:01;1982-09-01 06:00:00;1982-08-31;2.0;G
1982-09-01 06:00:01;1982-09-02 06:00:00;1982-09-01;0.0;G
1982-09-02 06:00:01;1982-09-03 06:00:00;1982-09-02;0.0;G
1982-09-03 06:00:01;1982-09-04 06:00:00;1982-09-03;8.0;G
1982-09-04 06:00:01;1982-09-05 06:00:00;1982-09-04;5.0;G
1982-09-05 06:00:01;1982-09-06 06:00:00;1982-09-05;0.2;G
1982-09-06 06:00:01;1982-09-07 06:00:00;1982-09-06;0.0;G
1982-09-07 06:00:01;1982-09-08 06:00:00;1982-09-07;14.2;G
1982-09-08 06:00:01;1982-09-09 06:00:00;1982-09-08;0.0;G
1982-09-09 06:00:01;1982-09-10 06:00:00;1982-09-09;0.0;G
1982-09-10 06:00:01;1982-09-11 06:00:00;1982-09-10;0.0;G
1982-09-11 06:00:01;1982-09-12 06:00:00;1982-09-11;1.6;G
