Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Gyttorp;94600;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1966-02-28 23:59:59;115.0;59.4996;14.9637

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1961-01-01 06:00:01;1961-01-02 06:00:00;1961-01-01;10.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-01-02 06:00:01;1961-01-03 06:00:00;1961-01-02;1.0;G;;Tidsperiod (fr.o.m.) = 1961-01-01 00:00:00 (UTC)
1961-01-03 06:00:01;1961-01-04 06:00:00;1961-01-03;13.0;G;;Tidsperiod (t.o.m.) = 1966-02-28 23:59:59 (UTC)
1961-01-08 06:00:01;1961-01-09 06:00:00;1961-01-08;6.0;G;;Värdet är summerat över = 24 timmar
1961-01-09 06:00:01;1961-01-10 06:00:00;1961-01-09;9.5;G;;
1961-01-10 06:00:01;1961-01-11 06:00:00;1961-01-10;1.0;G;;Kvalitetskoderna:
1961-01-11 06:00:01;1961-01-12 06:00:00;1961-01-11;0.5;G;;Grön (G) = Kontrollerade och godkända värden.
1961-01-12 06:00:01;1961-01-13 06:00:00;1961-01-12;7.5;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-01-29 06:00:01;1961-01-30 06:00:00;1961-01-29;12.0;G;;
1961-01-30 06:00:01;1961-01-31 06:00:00;1961-01-30;3.0;G;;Nätinformation:
1961-02-01 06:00:01;1961-02-02 06:00:00;1961-02-01;1.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1961-02-02 06:00:01;1961-02-03 06:00:00;1961-02-02;5.5;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1961-02-03 06:00:01;1961-02-04 06:00:00;1961-02-03;1.0;G;;
1961-02-13 06:00:01;1961-02-14 06:00:00;1961-02-13;1.0;G;;Möjliga orsaker till saknade data:
1961-02-24 06:00:01;1961-02-25 06:00:00;1961-02-24;1.0;G;;– stationen eller givaren har varit ur funktion.
