Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Arboga;95230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1952-02-01 00:00:00;1971-09-01 23:59:59;50.0;59.3833;15.8333

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1952-02-01 06:00:01;1952-02-02 06:00:00;1952-02-01;7.9;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1952-02-02 06:00:01;1952-02-03 06:00:00;1952-02-02;0.2;G;;Tidsperiod (fr.o.m.) = 1952-02-01 00:00:00 (UTC)
1952-02-03 06:00:01;1952-02-04 06:00:00;1952-02-03;0.2;G;;Tidsperiod (t.o.m.) = 1971-09-01 23:59:59 (UTC)
1952-02-04 06:00:01;1952-02-05 06:00:00;1952-02-04;0.0;G;;Värdet är summerat över = 24 timmar
1952-02-05 06:00:01;1952-02-06 06:00:00;1952-02-05;0.0;G;;
1952-02-06 06:00:01;1952-02-07 06:00:00;1952-02-06;0.5;G;;Kvalitetskoderna:
1952-02-07 06:00:01;1952-02-08 06:00:00;1952-02-07;1.8;G;;Grön (G) = Kontrollerade och godkända värden.
1952-02-08 06:00:01;1952-02-09 06:00:00;1952-02-08;0.1;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1952-02-09 06:00:01;1952-02-10 06:00:00;1952-02-09;0.1;G;;
1952-02-10 06:00:01;1952-02-11 06:00:00;1952-02-10;0.0;G;;Nätinformation:
1952-02-11 06:00:01;1952-02-12 06:00:00;1952-02-11;0.1;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1952-02-12 06:00:01;1952-02-13 06:00:00;1952-02-12;0.7;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1952-02-13 06:00:01;1952-02-14 06:00:00;1952-02-13;0.0;G;;
1952-02-14 06:00:01;1952-02-15 06:00:00;1952-02-14;0.0;G;;Möjliga orsaker till saknade data:
1952-02-15 06:00:01;1952-02-16 06:00:00;1952-02-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1952-02-16 06:00:01;1952-02-17 06:00:00;1952-02-16;2.9;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1952-02-17 06:00:01;1952-02-18 06:00:00;1952-02-17;0.0;G
1952-02-18 06:00:01;1952-02-19 06:00:00;1952-02-18;1.6;G
1952-02-19 06:00:01;1952-02-20 06:00:00;1952-02-19;0.0;G
1952-02-20 06:00:01;1952-02-21 06:00:00;1952-02-20;0.0;G
1952-02-21 06:00:01;1952-02-22 06:00:00;1952-02-21;0.0;G
1952-02-22 06:00:01;1952-02-23 06:00:00;1952-02-22;0.9;G
1952-02-23 06:00:01;1952-02-24 06:00:00;1952-02-23;0.0;G
1952-02-24 06:00:01;1952-02-25 06:00:00;1952-02-24;0.0;G
1952-02-25 06:00:01;1952-02-26 06:00:00;1952-02-25;2.6;G
