Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Grönbo;95380;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1997-06-01 00:00:00;2003-03-31 23:59:59;85.0;59.6396;15.4180

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1997-06-01 06:00:01;1997-06-02 06:00:00;1997-06-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1997-06-02 06:00:01;1997-06-03 06:00:00;1997-06-02;0.0;G;;Tidsperiod (fr.o.m.) = 1997-06-01 00:00:00 (UTC)
1997-06-03 06:00:01;1997-06-04 06:00:00;1997-06-03;0.0;G;;Tidsperiod (t.o.m.) = 2003-03-31 23:59:59 (UTC)
1997-06-04 06:00:01;1997-06-05 06:00:00;1997-06-04;0.0;G;;Värdet är summerat över = 24 timmar
1997-06-05 06:00:01;1997-06-06 06:00:00;1997-06-05;0.0;G;;
1997-06-06 06:00:01;1997-06-07 06:00:00;1997-06-06;0.0;G;;Kvalitetskoderna:
1997-06-07 06:00:01;1997-06-08 06:00:00;1997-06-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1997-06-08 06:00:01;1997-06-09 06:00:00;1997-06-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1997-06-09 06:00:01;1997-06-10 06:00:00;1997-06-09;1.7;G;;
1997-06-10 06:00:01;1997-06-11 06:00:00;1997-06-10;0.0;G;;Nätinformation:
1997-06-11 06:00:01;1997-06-12 06:00:00;1997-06-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1997-06-12 06:00:01;1997-06-13 06:00:00;1997-06-12;0.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1997-06-13 06:00:01;1997-06-14 06:00:00;1997-06-13;2.0;G;;
1997-06-14 06:00:01;1997-06-15 06:00:00;1997-06-14;8.2;G;;Möjliga orsaker till saknade data:
1997-06-15 06:00:01;1997-06-16 06:00:00;1997-06-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1997-06-16 06:00:01;1997-06-17 06:00:00;1997-06-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1997-06-17 06:00:01;1997-06-18 06:00:00;1997-06-17;12.3;G
1997-06-18 06:00:01;1997-06-19 06:00:00;1997-06-18;0.0;G
1997-06-19 06:00:01;1997-06-20 06:00:00;1997-06-19;0.0;G
1997-06-20 06:00:01;1997-06-21 06:00:00;1997-06-20;0.0;G
1997-06-21 06:00:01;1997-06-22 06:00:00;1997-06-21;0.8;G
1997-06-22 06:00:01;1997-06-23 06:00:00;1997-06-22;18.4;G
1997-06-23 06:00:01;1997-06-24 06:00:00;1997-06-23;1.8;G
1997-06-24 06:00:01;1997-06-25 06:00:00;1997-06-24;2.2;G
1997-06-25 06:00:01;1997-06-26 06:00:00;1997-06-25;7.9;G
1997-06-26 06:00:01;1997-06-27 06:00:00;1997-06-26;4.1;G
1997-06-27 06:00:01;1997-06-28 06:00:00;1997-06-27;0.0;G
1997-06-28 06:00:01;1997-06-29 06:00:00;1997-06-28;3.0;G
1997-06-29 06:00:01;1997-06-30 06:00:00;1997-06-29;6.2;G
1997-06-30 06:00:01;1997-07-01 06:00:00;1997-06-30;23.0;G
1997-07-01 06:00:01;1997-07-02 06:00:00;1997-07-01;0.0;G
1997-07-02 06:00:01;1997-07-03 06:00:00;1997-07-02;8.4;G
1997-07-03 06:00:01;1997-07-04 06:00:00;1997-07-03;0.0;G
1997-07-04 06:00:01;1997-07-05 06:00:00;1997-07-04;0.0;G
1997-07-05 06:00:01;1997-07-06 06:00:00;1997-07-05;0.0;G
1997-07-06 06:00:01;1997-07-07 06:00:00;1997-07-06;0.0;G
1997-07-07 06:00:01;1997-07-08 06:00:00;1997-07-07;0.0;G
1997-07-08 06:00:01;1997-07-09 06:00:00;1997-07-08;0.0;G
1997-07-09 06:00:01;1997-07-10 06:00:00;1997-07-09;0.0;G
1997-07-10 06:00:01;1997-07-11 06:00:00;1997-07-10;0.0;G
1997-07-11 06:00:01;1997-07-12 06:00:00;1997-07-11;0.0;G
1997-07-12 06:00:01;1997-07-13 06:00:00;1997-07-12;0.0;G
