Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Hörnsjöfors;96501;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1922-06-01 00:00:00;1923-01-31 23:59:59;63.0;59.9484;16.2219

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1922-06-01 07:00:01;1922-06-02 07:00:00;1922-06-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1922-06-02 07:00:01;1922-06-03 07:00:00;1922-06-02;0.0;G;;Tidsperiod (fr.o.m.) = 1922-06-01 00:00:00 (UTC)
1922-06-03 07:00:01;1922-06-04 07:00:00;1922-06-03;0.0;G;;Tidsperiod (t.o.m.) = 1923-01-31 23:59:59 (UTC)
1922-06-04 07:00:01;1922-06-05 07:00:00;1922-06-04;0.0;G;;Värdet är summerat över = 24 timmar
1922-06-05 07:00:01;1922-06-06 07:00:00;1922-06-05;9.9;G;;
1922-06-06 07:00:01;1922-06-07 07:00:00;1922-06-06;0.0;G;;Kvalitetskoderna:
1922-06-07 07:00:01;1922-06-08 07:00:00;1922-06-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1922-06-08 07:00:01;1922-06-09 07:00:00;1922-06-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1922-06-09 07:00:01;1922-06-10 07:00:00;1922-06-09;0.0;G;;
1922-06-10 07:00:01;1922-06-11 07:00:00;1922-06-10;0.0;G;;Nätinformation:
1922-06-11 07:00:01;1922-06-12 07:00:00;1922-06-11;1.4;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1922-06-12 07:00:01;1922-06-13 07:00:00;1922-06-12;11.1;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1922-06-13 07:00:01;1922-06-14 07:00:00;1922-06-13;0.0;G;;
1922-06-14 07:00:01;1922-06-15 07:00:00;1922-06-14;0.0;G;;Möjliga orsaker till saknade data:
1922-06-15 07:00:01;1922-06-16 07:00:00;1922-06-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1922-06-16 07:00:01;1922-06-17 07:00:00;1922-06-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1922-06-17 07:00:01;1922-06-18 07:00:00;1922-06-17;23.5;G
1922-06-18 07:00:01;1922-06-19 07:00:00;1922-06-18;2.1;G
1922-06-19 07:00:01;1922-06-20 07:00:00;1922-06-19;0.0;G
1922-06-20 07:00:01;1922-06-21 07:00:00;1922-06-20;0.0;G
1922-06-21 07:00:01;1922-06-22 07:00:00;1922-06-21;0.0;G
1922-06-22 07:00:01;1922-06-23 07:00:00;1922-06-22;0.0;G
1922-06-23 07:00:01;1922-06-24 07:00:00;1922-06-23;4.8;G
1922-06-24 07:00:01;1922-06-25 07:00:00;1922-06-24;0.0;G
1922-06-25 07:00:01;1922-06-26 07:00:00;1922-06-25;9.5;G
1922-06-26 07:00:01;1922-06-27 07:00:00;1922-06-26;2.0;G
1922-06-27 07:00:01;1922-06-28 07:00:00;1922-06-27;0.6;G
1922-06-28 07:00:01;1922-06-29 07:00:00;1922-06-28;5.2;G
1922-06-29 07:00:01;1922-06-30 07:00:00;1922-06-29;0.0;G
1922-06-30 07:00:01;1922-07-01 07:00:00;1922-06-30;0.0;G
1922-07-01 07:00:01;1922-07-02 07:00:00;1922-07-01;0.0;G
1922-07-02 07:00:01;1922-07-03 07:00:00;1922-07-02;5.2;G
1922-07-03 07:00:01;1922-07-04 07:00:00;1922-07-03;1.3;G
1922-07-04 07:00:01;1922-07-05 07:00:00;1922-07-04;1.8;G
1922-07-05 07:00:01;1922-07-06 07:00:00;1922-07-05;0.5;G
