Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Strängnäs;97270;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1980-04-01 00:00:00;1990-01-01 23:59:59;25.0;59.4020;17.0605

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1980-04-01 06:00:01;1980-04-02 06:00:00;1980-04-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1980-04-02 06:00:01;1980-04-03 06:00:00;1980-04-02;0.0;G;;Tidsperiod (fr.o.m.) = 1980-04-01 00:00:00 (UTC)
1980-04-03 06:00:01;1980-04-04 06:00:00;1980-04-03;0.0;G;;Tidsperiod (t.o.m.) = 1990-01-01 23:59:59 (UTC)
1980-04-04 06:00:01;1980-04-05 06:00:00;1980-04-04;0.0;G;;Värdet är summerat över = 24 timmar
1980-04-05 06:00:01;1980-04-06 06:00:00;1980-04-05;0.0;G;;
1980-04-06 06:00:01;1980-04-07 06:00:00;1980-04-06;0.0;G;;Kvalitetskoderna:
1980-04-07 06:00:01;1980-04-08 06:00:00;1980-04-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1980-04-08 06:00:01;1980-04-09 06:00:00;1980-04-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1980-04-09 06:00:01;1980-04-10 06:00:00;1980-04-09;0.0;G;;
1980-04-10 06:00:01;1980-04-11 06:00:00;1980-04-10;0.0;G;;Nätinformation:
1980-04-11 06:00:01;1980-04-12 06:00:00;1980-04-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1980-04-12 06:00:01;1980-04-13 06:00:00;1980-04-12;0.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1980-04-13 06:00:01;1980-04-14 06:00:00;1980-04-13;0.0;G;;
1980-04-14 06:00:01;1980-04-15 06:00:00;1980-04-14;0.0;G;;Möjliga orsaker till saknade data:
1980-04-15 06:00:01;1980-04-16 06:00:00;1980-04-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1980-04-16 06:00:01;1980-04-17 06:00:00;1980-04-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1980-04-17 06:00:01;1980-04-18 06:00:00;1980-04-17;0.0;G
1980-04-18 06:00:01;1980-04-19 06:00:00;1980-04-18;0.9;G
1980-04-19 06:00:01;1980-04-20 06:00:00;1980-04-19;0.4;G
1980-04-20 06:00:01;1980-04-21 06:00:00;1980-04-20;0.0;G
1980-04-21 06:00:01;1980-04-22 06:00:00;1980-04-21;0.0;G
1980-04-22 06:00:01;1980-04-23 06:00:00;1980-04-22;0.0;G
1980-04-23 06:00:01;1980-04-24 06:00:00;1980-04-23;0.0;G
1980-04-24 06:00:01;1980-04-25 06:00:00;1980-04-24;12.5;G
1980-04-25 06:00:01;1980-04-26 06:00:00;1980-04-25;0.0;G
1980-04-26 06:00:01;1980-04-27 06:00:00;1980-04-26;7.5;G
1980-04-27 06:00:01;1980-04-28 06:00:00;1980-04-27;3.5;G
1980-04-28 06:00:01;1980-04-29 06:00:00;1980-04-28;3.2;G
1980-04-29 06:00:01;1980-04-30 06:00:00;1980-04-29;0.0;G
1980-04-30 06:00:01;1980-05-01 06:00:00;1980-04-30;0.0;G
1980-05-01 06:00:01;1980-05-02 06:00:00;1980-05-01;0.0;G
1980-05-02 06:00:01;1980-05-03 06:00:00;1980-05-02;0.0;G
1980-05-03 06:00:01;1980-05-04 06:00:00;1980-05-03;0.0;G
1980-05-04 06:00:01;1980-05-05 06:00:00;1980-05-04;0.0;G
1980-05-05 06:00:01;1980-05-06 06:00:00;1980-05-05;0.0;G
1980-05-06 06:00:01;1980-05-07 06:00:00;1980-05-06;0.0;G
1980-05-07 06:00:01;1980-05-08 06:00:00;1980-05-07;0.0;G
1980-05-08 06:00:01;1980-05-09 06:00:00;1980-05-08;0.0;G
1980-05-09 06:00:01;1980-05-10 06:00:00;1980-05-09;0.0;G
1980-05-10 06:00:01;1980-05-11 06:00:00;1980-05-10;0.0;G
1980-05-11 06:00:01;1980-05-12 06:00:00;1980-05-11;0.0;G
1980-05-12 06:00:01;1980-05-13 06:00:00;1980-05-12;0.0;G
1980-05-13 06:00:01;1980-05-14 06:00:00;1980-05-13;0.0;G
1980-05-14 06:00:01;1980-05-15 06:00:00;1980-05-14;0.0;G
1980-05-15 06:00:01;1980-05-16 06:00:00;1980-05-15;0.0;G
1980-05-16 06:00:01;1980-05-17 06:00:00;1980-05-16;0.0;G
1980-05-17 06:00:01;1980-05-18 06:00:00;1980-05-17;0.0;G
1980-05-18 06:00:01;1980-05-19 06:00:00;1980-05-18;0.0;G
1980-05-19 06:00:01;1980-05-20 06:00:00;1980-05-19;0.0;G
1980-05-20 06:00:01;1980-05-21 06:00:00;1980-05-20;0.0;G
