Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Skeppsta;97750;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-10-01 00:00:00;1963-05-01 23:59:00;20.0;59.1417;17.1500

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1962-10-22 06:00:01;1962-10-23 06:00:00;1962-10-22;0.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-10-23 06:00:01;1962-10-24 06:00:00;1962-10-23;0.0;Y;;Tidsperiod (fr.o.m.) = 1962-10-01 00:00:00 (UTC)
1962-10-24 06:00:01;1962-10-25 06:00:00;1962-10-24;0.0;Y;;Tidsperiod (t.o.m.) = 1963-05-01 23:59:00 (UTC)
1962-10-25 06:00:01;1962-10-26 06:00:00;1962-10-25;0.0;Y;;Värdet är summerat över = 24 timmar
1962-10-26 06:00:01;1962-10-27 06:00:00;1962-10-26;13.1;Y;;
1962-10-27 06:00:01;1962-10-28 06:00:00;1962-10-27;0.0;Y;;Kvalitetskoderna:
1962-10-28 06:00:01;1962-10-29 06:00:00;1962-10-28;1.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-10-29 06:00:01;1962-10-30 06:00:00;1962-10-29;0.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-10-30 06:00:01;1962-10-31 06:00:00;1962-10-30;3.6;Y;;
1962-10-31 06:00:01;1962-11-01 06:00:00;1962-10-31;0.0;Y;;Nätinformation:
1962-11-01 06:00:01;1962-11-02 06:00:00;1962-11-01;0.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-11-02 06:00:01;1962-11-03 06:00:00;1962-11-02;1.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-11-03 06:00:01;1962-11-04 06:00:00;1962-11-03;0.3;Y;;
1962-11-04 06:00:01;1962-11-05 06:00:00;1962-11-04;0.0;Y;;Möjliga orsaker till saknade data:
1962-11-05 06:00:01;1962-11-06 06:00:00;1962-11-05;0.4;Y;;– stationen eller givaren har varit ur funktion.
1962-11-06 06:00:01;1962-11-07 06:00:00;1962-11-06;0.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1962-11-07 06:00:01;1962-11-08 06:00:00;1962-11-07;0.0;Y
1962-11-08 06:00:01;1962-11-09 06:00:00;1962-11-08;0.0;Y
1962-11-09 06:00:01;1962-11-10 06:00:00;1962-11-09;0.0;Y
1962-11-10 06:00:01;1962-11-11 06:00:00;1962-11-10;0.0;Y
1962-11-11 06:00:01;1962-11-12 06:00:00;1962-11-11;0.0;Y
1962-11-12 06:00:01;1962-11-13 06:00:00;1962-11-12;0.4;Y
1962-11-13 06:00:01;1962-11-14 06:00:00;1962-11-13;3.1;Y
1962-11-14 06:00:01;1962-11-15 06:00:00;1962-11-14;0.0;Y
1962-11-15 06:00:01;1962-11-16 06:00:00;1962-11-15;1.8;Y
1962-11-16 06:00:01;1962-11-17 06:00:00;1962-11-16;0.7;Y
1962-11-17 06:00:01;1962-11-18 06:00:00;1962-11-17;0.0;Y
1962-11-18 06:00:01;1962-11-19 06:00:00;1962-11-18;4.1;Y
1962-11-19 06:00:01;1962-11-20 06:00:00;1962-11-19;4.1;Y
1962-11-20 06:00:01;1962-11-21 06:00:00;1962-11-20;0.5;Y
1962-11-21 06:00:01;1962-11-22 06:00:00;1962-11-21;9.3;Y
1962-11-22 06:00:01;1962-11-23 06:00:00;1962-11-22;0.0;Y
1962-11-23 06:00:01;1962-11-24 06:00:00;1962-11-23;0.0;Y
1962-11-24 06:00:01;1962-11-25 06:00:00;1962-11-24;8.0;Y
1962-11-25 06:00:01;1962-11-26 06:00:00;1962-11-25;0.2;Y
1962-11-26 06:00:01;1962-11-27 06:00:00;1962-11-26;0.0;Y
1962-11-27 06:00:01;1962-11-28 06:00:00;1962-11-27;0.0;Y
1962-11-28 06:00:01;1962-11-29 06:00:00;1962-11-28;0.0;Y
1962-11-29 06:00:01;1962-11-30 06:00:00;1962-11-29;0.0;Y
1962-11-30 06:00:01;1962-12-01 06:00:00;1962-11-30;0.0;Y
1962-12-01 06:00:01;1962-12-02 06:00:00;1962-12-01;0.0;Y
1962-12-02 06:00:01;1962-12-03 06:00:00;1962-12-02;0.1;Y
1962-12-03 06:00:01;1962-12-04 06:00:00;1962-12-03;0.0;Y
1962-12-04 06:00:01;1962-12-05 06:00:00;1962-12-04;0.0;Y
1962-12-05 06:00:01;1962-12-06 06:00:00;1962-12-05;0.0;Y
1962-12-06 06:00:01;1962-12-07 06:00:00;1962-12-06;0.0;Y
1962-12-07 06:00:01;1962-12-08 06:00:00;1962-12-07;0.0;Y
1962-12-08 06:00:01;1962-12-09 06:00:00;1962-12-08;0.0;Y
1962-12-09 06:00:01;1962-12-10 06:00:00;1962-12-09;0.4;Y
1962-12-10 06:00:01;1962-12-11 06:00:00;1962-12-10;0.0;Y
1962-12-11 06:00:01;1962-12-12 06:00:00;1962-12-11;4.5;Y
1962-12-12 06:00:01;1962-12-13 06:00:00;1962-12-12;2.8;Y
1962-12-13 06:00:01;1962-12-14 06:00:00;1962-12-13;1.6;Y
