Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-10-01 00:00:00;2025-02-28 23:59:59;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-10-01 06:00:01;1996-10-02 06:00:00;1996-10-01;0.1;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-10-02 06:00:01;1996-10-03 06:00:00;1996-10-02;0.6;G;;Tidsperiod (fr.o.m.) = 1996-10-01 00:00:00 (UTC)
1996-10-03 06:00:01;1996-10-04 06:00:00;1996-10-03;0.2;G;;Tidsperiod (t.o.m.) = 2024-12-01 06:00:00 (UTC)
1996-10-04 06:00:01;1996-10-05 06:00:00;1996-10-04;0.4;G;;Värdet är summerat över = 24 timmar
1996-10-05 06:00:01;1996-10-06 06:00:00;1996-10-05;0.0;G;;
1996-10-06 06:00:01;1996-10-07 06:00:00;1996-10-06;0.0;G;;Kvalitetskoderna:
1996-10-07 06:00:01;1996-10-08 06:00:00;1996-10-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1996-10-08 06:00:01;1996-10-09 06:00:00;1996-10-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-10-09 06:00:01;1996-10-10 06:00:00;1996-10-09;0.0;G;;
1996-10-10 06:00:01;1996-10-11 06:00:00;1996-10-10;0.1;G;;Nätinformation:
1996-10-11 06:00:01;1996-10-12 06:00:00;1996-10-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1996-10-12 06:00:01;1996-10-13 06:00:00;1996-10-12;0.1;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1996-10-13 06:00:01;1996-10-14 06:00:00;1996-10-13;0.9;G;;
1996-10-14 06:00:01;1996-10-15 06:00:00;1996-10-14;0.0;G;;Möjliga orsaker till saknade data:
1996-10-15 06:00:01;1996-10-16 06:00:00;1996-10-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1996-10-16 06:00:01;1996-10-17 06:00:00;1996-10-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
