Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Norrtälje-Väsby;98510;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-01-01 00:00:00;1994-11-01 23:59:59;10.0;59.8524;18.7296

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-01-01 06:00:01;1989-01-02 06:00:00;1989-01-01;0.3;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-01-02 06:00:01;1989-01-03 06:00:00;1989-01-02;0.0;G;;Tidsperiod (fr.o.m.) = 1989-01-01 00:00:00 (UTC)
1989-01-03 06:00:01;1989-01-04 06:00:00;1989-01-03;0.0;G;;Tidsperiod (t.o.m.) = 1994-11-01 23:59:59 (UTC)
1989-01-04 06:00:01;1989-01-05 06:00:00;1989-01-04;0.0;G;;Värdet är summerat över = 24 timmar
1989-01-05 06:00:01;1989-01-06 06:00:00;1989-01-05;0.0;G;;
1989-01-06 06:00:01;1989-01-07 06:00:00;1989-01-06;0.1;G;;Kvalitetskoderna:
1989-01-07 06:00:01;1989-01-08 06:00:00;1989-01-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1989-01-08 06:00:01;1989-01-09 06:00:00;1989-01-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1989-01-09 06:00:01;1989-01-10 06:00:00;1989-01-09;0.6;G;;
1989-01-10 06:00:01;1989-01-11 06:00:00;1989-01-10;0.0;G;;Nätinformation:
1989-01-11 06:00:01;1989-01-12 06:00:00;1989-01-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
