Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ursholmen;81640;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;1950-02-28 23:59:59;6.0;58.8333;11.0000

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1947-01-08;06:00:00;0.01;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1947-01-14;06:00:00;0.15;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1947-01-15;06:00:00;0.20;G;;Tidsperiod (t.o.m.) = 1950-02-28 23:59:59 (UTC)
1947-01-25;06:00:00;0.01;G;;Samplingstid = Ej angivet
1947-02-25;06:00:00;0.15;G;;
1947-02-28;06:00:00;0.16;G;;Kvalitetskoderna:
1947-03-17;06:00:00;0.04;G;;Grön (G) = Kontrollerade och godkända värden.
1947-03-20;06:00:00;0.07;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1947-03-22;06:00:00;0.15;G;;
1947-03-25;06:00:00;0.00;G;;Nätinformation:
1947-11-20;06:00:00;0.12;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1947-11-21;06:00:00;0.00;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1947-12-01;06:00:00;0.01;G;;
1947-12-02;06:00:00;0.00;G;;Möjliga orsaker till saknade data:
1948-01-02;06:00:00;0.03;G;;– stationen eller givaren har varit ur funktion.
1948-01-03;06:00:00;0.03;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1948-01-04;06:00:00;0.04;G
1948-01-05;06:00:00;0.04;G
1948-01-06;06:00:00;0.30;G
1948-01-07;06:00:00;0.35;G
1948-01-08;06:00:00;0.30;G
1948-01-09;06:00:00;0.30;G
1948-01-10;06:00:00;0.32;G
1948-01-11;06:00:00;0.30;G
1948-01-12;06:00:00;0.30;G
1948-01-13;06:00:00;0.38;G
1948-01-18;06:00:00;0.35;G
1948-01-19;06:00:00;0.20;G
1948-01-20;06:00:00;0.15;G
1948-01-25;06:00:00;0.17;G
1948-02-07;06:00:00;0.06;G
1948-02-08;06:00:00;0.08;G
1948-02-13;06:00:00;0.06;G
1948-02-20;06:00:00;0.02;G
1950-01-11;06:00:00;0.08;G
1950-01-12;06:00:00;0.12;G
1950-01-14;06:00:00;0.00;G
1950-02-03;06:00:00;0.09;G
1950-02-04;06:00:00;0.20;G
1950-02-06;06:00:00;0.00;G
1950-02-09;06:00:00;0.03;G
1950-02-10;06:00:00;0.14;G
1950-02-11;06:00:00;0.16;G
1950-02-12;06:00:00;0.16;G
1950-02-13;06:00:00;0.16;G
1950-02-14;06:00:00;0.18;G
1950-02-15;06:00:00;0.19;G
1950-02-16;06:00:00;0.22;G
1950-02-18;06:00:00;0.00;G
