Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Garn;82030;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-01-01 00:00:00;2008-03-31 23:59:59;15.0;58.0492;12.1563

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1995-01-31;06:00:00;0.16;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-11-17;06:00:00;0.40;G;;Tidsperiod (fr.o.m.) = 1995-01-01 00:00:00 (UTC)
1996-03-31;06:00:00;0.03;G;;Tidsperiod (t.o.m.) = 2008-03-31 23:59:59 (UTC)
1997-02-15;06:00:00;0.06;G;;Samplingstid = Ej angivet
1997-11-30;06:00:00;0.05;G;;
1997-12-01;06:00:00;0.05;G;;Kvalitetskoderna:
2002-01-24;06:00:00;0.04;G;;Grön (G) = Kontrollerade och godkända värden.
2002-02-22;06:00:00;0.08;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-02-27;06:00:00;0.05;G;;
2004-02-23;06:00:00;0.15;G;;Nätinformation:
2004-02-24;06:00:00;0.18;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2004-12-27;06:00:00;0.00;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2005-02-13;06:00:00;0.17;G;;
2005-02-14;06:00:00;0.18;G;;Möjliga orsaker till saknade data:
2005-03-17;06:00:00;0.00;G;;– stationen eller givaren har varit ur funktion.
2006-08-22;06:00:00;0.00;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2007-01-21;06:00:00;0.02;Y
2007-01-31;06:00:00;0.00;Y
2007-02-01;06:00:00;0.00;Y
2007-12-31;06:00:00;0.00;Y
2008-01-01;06:00:00;0.01;Y
2008-01-09;06:00:00;0.00;Y
2008-02-03;06:00:00;0.10;Y
2008-03-30;06:00:00;0.00;Y
