stations,latitude,longitude,energy zone
106500,60.8321,16.0581,SE3
92170,59.2891,12.0542,SE3
84020,58.0389,14.9853,SE3
96310,59.5259,16.0192,SE3
108600,60.1829,18.3964,SE3
86090,58.1425,16.2102,SE3
82000,58.0067,12.1454,SE3
104530,60.8846,14.3786,SE3
106580,60.9645,16.4631,SE3
82010,58.0166,12.8333,SE3
84060,58.0735,14.3599,SE3
96350,59.5972,16.6001,SE3
98400,59.6575,18.2718,SE3
108640,60.3333,18.4333,SE3
82030,58.0492,12.1563,SE3
94320,59.5271,14.276,SE3
96370,59.5888,16.6299,SE3
104580,61.0025,14.5874,SE3
102540,60.9053,12.5876,SE3
104600,60.2663,14.3637,SE3
98460,59.7506,18.7091,SE3
94370,59.6112,14.1859,SE3
82100,58.1666,12.4166,SE3
86200,58.3339,16.8157,SE3
82110,58.1582,12.6448,SE3
94410,59.6833,14.3166,SE3
98510,59.8524,18.7296,SE3
92370,59.6166,12.9833,SE3
92380,59.3832,12.1391,SE3
94430,59.7166,14.1666,SE3
96480,59.8,16.55,SE3
92400,59.6658,12.591,SE3
94450,59.7489,14.255,SE3
96501,59.9484,16.2219,SE3
82190,58.3141,12.3292,SE3
82200,58.3355,12.6765,SE3
98590,59.9833,18.8166,SE3
96550,59.9036,16.6579,SE3
98610,59.0833,18.1166,SE3
82230,58.3543,12.3585,SE3
86330,58.5491,16.8157,SE3
78140,57.2437,18.3788,SE3
92480,59.8,12.2333,SE3
86340,58.5828,16.147,SE3
98630,59.633,18.2298,SE3
82250,58.4397,12.6928,SE3
86350,58.5842,16.2383,SE3
82260,58.428,12.711,SE3
84310,58.5452,14.4945,SE3
86360,58.606,16.2127,SE3
115040,61.0666,15.7,SE3
96610,59.083,16.2135,SE3
86370,58.6082,16.1212,SE3
94560,59.9978,14.7889,SE3
115050,61.0442,15.7921,SE3
94580,59.9382,14.8884,SE3
96640,59.9829,16.4634,SE3
76160,57.267,16.4114,SE3
94600,59.4996,14.9637,SE3
78240,57.4034,18.5297,SE3
84390,58.6439,14.0632,SE3
78250,57.422,18.9091,SE3
74180,57.292,14.137,SE3
94660,59.95,14.8833,SE3
86470,58.7847,16.1544,SE3
78280,57.45,18.9833,SE3
82380,58.602,12.4447,SE3
86480,58.7833,16.9166,SE3
113100,61.1691,13.2593,SE3
92630,59.3833,12.1166,SE3
78310,57.5069,18.4539,SE3
78320,57.4725,18.2739,SE3
84470,58.7899,14.3164,SE3
88570,58.9502,18.2669,SE3
74240,57.4396,14.8837,SE3
88580,58.9733,18.4493,SE3
107020,60.0694,17.6181,SE3
88590,58.9639,18.5708,SE3
78360,57.5979,18.4507,SE3
107040,60.039,17.6071,SE3
107050,60.0042,17.5833,SE3
78390,57.6234,18.3013,SE3
78400,57.6678,18.3516,SE3
113230,61.3795,13.7235,SE3
78420,57.6952,18.6335,SE3
76380,57.642,16.5682,SE3
72290,57.4833,12.7,SE3
84580,58.948,14.9056,SE3
74340,57.5653,14.4693,SE3
82540,58.904,12.038,SE3
72300,57.4708,12.195,SE3
74350,57.5666,14.6333,SE3
107120,60.2026,17.9049,SE3
107130,60.2357,17.9072,SE3
86650,58.6664,16.3301,SE3
84610,58.0333,14.4666,SE3
86660,58.7545,17.0543,SE3
103050,60.0666,13.55,SE3
84620,58.5833,14.1166,SE3
76430,57.7166,16.5333,SE3
86670,59.1664,16.2136,SE3
74390,57.6431,14.6895,SE3
84630,58.55,14.0,SE3
103080,60.1832,12.9174,SE3
107180,60.3,17.4333,SE3
86700,58.35,16.8333,SE3
103090,60.1508,13.8062,SE3
74420,57.6898,14.1455,SE3
84660,58.88,14.9,SE3
76470,57.7213,16.4683,SE3
82620,58.3,12.3166,SE3
74440,57.7236,14.9829,SE3
72400,57.6382,12.633,SE3
82640,58.5666,12.3666,SE3
84690,58.9056,14.225,SE3
74450,57.75,14.17,SE3
107220,60.3833,17.4167,SE3
82650,58.7833,12.1833,SE3
74460,57.7514,14.0733,SE3
72420,57.6678,12.2963,SE3
74470,57.7994,14.1313,SE3
82660,58.8458,12.1472,SE3
74480,57.7867,14.2837,SE3
105200,60.3333,15.2,SE3
76530,57.8748,16.1689,SE3
74490,57.8431,14.4286,SE3
105210,60.3438,15.7611,SE3
72450,57.7607,12.9468,SE3
105220,60.3828,15.1418,SE3
107270,60.4393,17.3409,SE3
74510,57.8232,14.8913,SE3
105230,60.3758,15.231,SE3
74530,57.8887,14.7342,SE3
105260,60.4294,15.5079,SE3
95020,59.0297,15.6858,SE3
84780,58.3165,14.847,SE3
97070,59.1106,17.7182,SE3
72500,57.7556,12.2417,SE3
95030,59.0199,15.981,SE3
107330,60.542,17.7478,SE3
72520,57.8701,12.7074,SE3
97100,59.1833,17.9167,SE3
99150,59.2792,19.0306,SE3
105310,60.4942,15.4247,SE3
97120,59.2141,17.6291,SE3
117610,61.1666,17.3333,SE3
103290,60.4403,13.8944,SE3
97150,59.2511,17.0879,SE3
107400,60.6537,17.1693,SE3
105360,60.6046,15.0146,SE3
74640,57.3832,14.8638,SE3
97170,59.281,17.2541,SE3
105370,60.6185,15.6574,SE3
97180,59.3,17.7166,SE3
74650,57.85,14.2833,SE3
115630,61.2139,15.4083,SE3
107440,60.7333,17.5666,SE3
97200,59.3537,17.9513,SE3
72630,57.6996,11.9673,SE3
95160,59.2578,15.2557,SE3
